,Unnamed: 0,IMPAQ_ID,REI,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
20,1078,1078,NY695703,JAN'S SMOKE & CRAFT SHOP,383 BLOOMINGDALE RD,,AKRON,NY,14001,43.045889,-78.45609,"383 BLOOMINGDALE RD  AKRON, NY 14001",Original,1078.0,,,Correct,Correct,Correct,Correct,Active,JAN'S SMOKE & CRAFT SHOP,"383 BLOOMINGDALE RD AKRON, NY 14001",43.045889,-78.45609,POINT (-78.45609 43.045889),No,0.414655581,,,Tonawanda,Tonawanda Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,GENESEE,,,,,,,
21,1079,1079,NY695723,JAY'S PLACE,5446 WALMORE ROAD,,LEWISTON,NY,14092,43.152348,-78.93438,"5446 WALMORE ROAD  LEWISTON, NY 14092",Original,1079.0,,,Correct,Correct,Correct,Correct,Active,JAY'S PLACE,"5446 WALMORE ROAD LEWISTON, NY 14092",43.152347999999996,-78.93438,POINT (-78.93438 43.152348),Yes,0.0,Tuscarora Nation,Tuscarora Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,NIAGARA,,,,,,,
22,1080,1080,NY696168,KEN'S SMOKE SHOP,2073 ROUTE 219,,LIMESTONE,NY,14753,42.089942,-78.62985,"2073 ROUTE 219  LIMESTONE, NY 14753",Original,1080.0,,,Correct,Correct,Correct,Correct,Active,KEN'S SMOKE SHOP,"2073 ROUTE 219 LIMESTONE, NY 14753",42.089942,-78.62985,POINT (-78.62985 42.089942),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
23,1081,1081,NY696266,KEYE SUPERCENTER,551 MILESTRIP ROAD,,IRVING,NY,14081,42.5732742,-79.08896999999997,"551 MILESTRIP ROAD  IRVING, NY 14081",Original,1081.0,0.0,,KEYES SUPER CENTER,Correct,Correct,Correct,Active,KEYES SUPER CENTER,"551 MILESTRIP ROAD IRVING, NY 14081",42.5732742,-79.08896999999999,POINT (-79.08896999999997 42.5732742),Yes,0.0,Cattaraugus,Cattaraugus Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,ERIE,,,,,,,
24,1082,1082,NY696492,Papa's Place Smoke Shop,10924 LAKE SHORE RD,,IRVING,NY,14081,42.60588900000001,-79.10249,"10924 LAKE SHORE RD  IRVING, NY 14081",Original,1082.0,,,Correct,Correct,Correct,Correct,Active,Papa's Place Smoke Shop,"10924 LAKE SHORE RD IRVING, NY 14081",42.605889000000005,-79.10249,POINT (-79.10249 42.60588900000001),No,1.329266848,,,Cattaraugus,Cattaraugus Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,ERIE,,,,,,,
25,1083,1083,NY697334,M & M ALLEGHANY JUNCTION,2165 ROUTE 219,,LIMESTONE,NY,14753,42.094619,-78.62791999999997,"2165 ROUTE 219  LIMESTONE, NY 14753",Original,1083.0,,,Correct,Correct,Correct,Correct,Active,M & M ALLEGHANY JUNCTION,"2165 ROUTE 219 LIMESTONE, NY 14753",42.094619,-78.62791999999999,POINT (-78.62791999999997 42.094619),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
26,1084,1084,NY697367,M J ENTERPRISES,5001 ROUTE 417,,ALLEGANY,NY,14706,42.095906,-78.58006,"5001 ROUTE 417  ALLEGANY, NY 14706",Original,1084.0,,,Correct,"5001 NY-417, Allegany, NY 14706, USA",42.0962415,-78.5801115,Active,M J ENTERPRISES,"5001 NY-417, Allegany, NY 14706, USA",42.0962415,-78.5801115,POINT (-78.5801115 42.0962415),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,5001 -417,ALLEGANY,NY,14706,,CATTARAUGUS,,,,,,,
27,1085,1085,NY698387,MONTAUK NATIVE GASOLINE STA,182 POOSPATUCK LN,,MASTIC,NY,11950,40.789318,-72.83178000000002,"182 POOSPATUCK LN  MASTIC, NY 11950",Original,1085.0,,,Correct,"182C, Poospatuck Ln, Mastic, NY 11950, USA",40.7892892,-72.8313806,Active,MONTAUK NATIVE GASOLINE STA,"182C, Poospatuck Ln, Mastic, NY 11950, USA",40.789289200000006,-72.8313806,POINT (-72.83138060000002 40.78928920000001),No,64.66129723,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,182C POOSPATUCK LN,MASTIC,NY,11950,,SUFFOLK,1691536.0,MONTAUK NATIVE GAS II INC,,,,,
28,1086,1086,NY698621,NAFCO QUICK STOP,881 BROAD ST,,SALAMANCA,NY,14779,42.157107,-78.7481,"881 BROAD ST  SALAMANCA, NY 14779",Original,1086.0,,,Correct,Correct,Correct,Correct,Active,NAFCO QUICK STOP,"881 BROAD ST SALAMANCA, NY 14779",42.157107,-78.7481,POINT (-78.74809999999999 42.157107),Yes,0.0,Allegany,Allegany Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,CATTARAUGUS,,,,,,,
29,1087,1087,NY698696,NATIVE LAND SMOKE SHOP,136 POOSPATUCK LANE,,MASTIC,NY,11950,40.788737,-72.83545,"136 POOSPATUCK LANE  MASTIC, NY 11950",Original,1087.0,,,Correct,Correct,Correct,Correct,Active,NATIVE LAND SMOKE SHOP,"136 POOSPATUCK LANE MASTIC, NY 11950",40.788737,-72.83545,POINT (-72.83544999999999 40.788737),No,64.87925298,,,Mohegan,Mohegan Off-Reservation Trust Land,From Original List,,,,,,No changes,No changes,No changes,No changes,,SUFFOLK,,,,,,,
