id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,Longitude,Latitude,matchsource
516.0,"24095 AVENUE 230, LINDSAY, CA, 93247",True,Exact,"24095 AVE 230, LINDSAY, CA, 93247",202821193.0,R,6.0,107.0,2700.0,2026.0,-119.03380600000001,36.20717,Census
637.0,"4525  WARING RD., SAN DIEGO, CA, 92120",True,Exact,"4525 WARING RD, SAN DIEGO, CA, 92120",195322801.0,R,6.0,73.0,9705.0,3011.0,-117.0869,32.782852,Census
517.0,"2001  WILSHIRE BLVD STE 270, SANTA MONICA, CA, 90403",True,Exact,"2001 WILSHIRE BLVD, SANTA MONICA, CA, 90403",142715801.0,L,6.0,37.0,701601.0,4021.0,-118.482735,34.03174,Census
638.0,"2501  LINCOLN, ANAHEIM, CA, 92800",True,RANGE_INTERPOLATED,,,,,,,,-117.8804619,33.838604700000005,Google
518.0,"17130  VAN BUREN BLVD STE 167, RIVERSIDE, CA, 92504",True,ROOFTOP,,,,,,,,-117.36353899999999,33.8830348,Google
639.0,"225  MAIN STREET, CHESTER, CA, 96020",True,ROOFTOP,,,,,,,,-121.2294362,40.309168400000004,Google
519.0,"60  LASSEN STREET, SUSANVILLE, CA, 96130",True,ROOFTOP,,,,,,,,-120.66238759999999,40.4180844,Google
640.0,"575  MARKET STREET, SAN FRANCISCO, CA, 94105",True,Exact,"575 MARKET ST, SAN FRANCISCO, CA, 94105",192301671.0,L,6.0,75.0,61500.0,1016.0,-122.40078000000001,37.789658,Census
520.0,"440  CT ST, SAN BERNARDINO, CA, 92418",True,ROOFTOP,,,,,,,,-117.2930075,34.105723,Google
641.0,"2120  WILSHIRE BLVD,. STE. 200, SANTA MONICA, CA, 90403",True,Exact,"2120 WILSHIRE BLVD, SANTA MONICA, CA, 90403",141559369.0,R,6.0,37.0,701602.0,3014.0,-118.48151000000001,34.032692,Census
400.0,"2951  HIGH STREET, OAKLAND, CA, 94619",True,Exact,"2951 HIGH ST, OAKLAND, CA, 94619",125007684.0,L,6.0,1.0,407000.0,3007.0,-122.20123000000001,37.784008,Census
521.0,"1247  J STREET, OXNARD, CA, 93030",True,ROOFTOP,,,,,,,,-119.18987040000002,34.187384200000004,Google
642.0,"6001  BOLILNGER CANYON ROAD, SAN RAMON, CA, 94583",True,Non_Exact,"6001 BOLLINGER CANYON RD, SAN RAMON, CA, 94583",192093602.0,R,6.0,13.0,345111.0,1001.0,-121.95988999999999,37.761497,Census
401.0,"151  MCKNIGHT WAY STE G, GRASS VALLEY, CA, 95949",True,ROOFTOP,,,,,,,,-121.0618632,39.198274100000006,Google
522.0,"3936  HARROLD AVE., SANTA BARBARA, CA, 93110",True,Exact,"3936 HARROLD AVE, SANTA BARBARA, CA, 93110",108603177.0,R,6.0,83.0,102.0,4001.0,-119.75176,34.45009,Census
643.0,"575  MARKET ST, SAN FRANCISCO, CA, 94105",True,Exact,"575 MARKET ST, SAN FRANCISCO, CA, 94105",192301671.0,L,6.0,75.0,61500.0,1016.0,-122.40078000000001,37.789658,Census
402.0,"1151  SONORA AVE. UNIT 306, GLENDALE, CA, 91201",True,Exact,"1151 SONORA AVE, GLENDALE, CA, 91201",141596521.0,L,6.0,37.0,301502.0,1000.0,-118.28421999999999,34.16982,Census
523.0,"1235 AVENUE I, LANCASTER, CA, 93534",True,ROOFTOP,,,,,,,,-118.15251950000001,34.7042174,Google
644.0,"6001  BOLLINGER CANYON RD, SAN RAMON, CA, 94583",True,Exact,"6001 BOLLINGER CANYON RD, SAN RAMON, CA, 94583",192093602.0,R,6.0,13.0,345111.0,1001.0,-121.95988999999999,37.761497,Census
403.0,"2110  HUTTON DR STE 100, CARROLLTON, TX, 75006",True,Exact,"2110 HUTTON DR, CARROLLTON, TX, 75006",102995295.0,L,48.0,113.0,14002.0,2122.0,-96.91529,32.936170000000004,Census
524.0,"1849  EL CIELO ROAD, PALM SPRINGS, CA, 92264",True,ROOFTOP,,,,,,,,-116.5109577,33.80083629999999,Google
645.0,"558  LAKEVIEW DRIVE, BRENTWOOD, CA, 94513",True,Exact,"558 LAKEVIEW DR, BRENTWOOD, CA, 94513",192115265.0,R,6.0,13.0,303201.0,3041.0,-121.74895,37.929607,Census
404.0,"234  AUBURN ST., GRASS VALLEY, CA, 95945",True,ROOFTOP,,,,,,,,-121.0621301,39.215105,Google
525.0,"259-A  GUADALUPE ST, GUADALUPE, CA, 93434",True,Exact,"259 GUADALUPE ST, GUADALUPE, CA, 93434",108637899.0,L,6.0,83.0,2502.0,4009.0,-120.57399,34.960728,Census
646.0,"505  FLOWER STREET, LEVEL C LOS ANGELES, CA, 90071",True,ROOFTOP,,,,,,,,-118.25680870000001,34.0513446,Google
405.0,"2649  GIORNO WAY, EL DORADO HILLS, CA, 95762",True,Exact,"2649 GIORNO WAY, EL DORADO HLS, CA, 95762",607158536.0,L,6.0,17.0,31700.0,1015.0,-121.09491000000001,38.697308,Census
526.0,"2596  FOOTHILL_BLVD, SAN BERNARDINO, CA, 92410",True,ROOFTOP,,,,,,,,-117.34624579999999,34.107053799999996,Google
647.0,", LOS ANGELES, CA, 90021",False,,,,,,,,,,,
406.0,"1915  TARLETON ST, LOS ANGELES, CA, 90011",True,Exact,"1915 TARLETON ST, LOS ANGELES, CA, 90011",141621141.0,R,6.0,37.0,226001.0,2033.0,-118.24538999999999,34.021175,Census
527.0,"4126  MONTEREY HWY, SAN JOSE, CA, 95121",True,ROOFTOP,,,,,,,,-121.8343577,37.2785687,Google
648.0,"31288  RED BRIDGE RD., MURRIETA, CA, 92563",True,ROOFTOP,,,,,,,,-117.1139047,33.555862100000006,Google
407.0,"5715  CORSA AVE STE 110, WESTLAKE VILLAGE, CA, 91362",True,Exact,"5715 CORSA AVE, WESTLAKE VLG, CA, 91362",141719127.0,R,6.0,37.0,800331.0,1017.0,-118.79935,34.157090000000004,Census
528.0,", LA HABRA, CA, 90631",False,,,,,,,,,,,
649.0,"505  FLOWER STREET, PLAZA C LOS ANGELES, CA, 90071",True,ROOFTOP,,,,,,,,-118.25696200000002,34.0515916,Google
408.0,"6746  VALJEAN  SUITE 101, LOS ANGELES, CA, 91406",True,ROOFTOP,,,,,,,,-118.4849821,34.1931558,Google
529.0,", , , nan",False,,,,,,,,,,,
409.0,"4811  CHIPPENDALE DRIVE STE 101, SACRAMENTO, CA, 95841",True,Exact,"4811 CHIPPENDALE DR, SACRAMENTO, CA, 95841",133426196.0,L,6.0,67.0,7501.0,5005.0,-121.35257,38.662804,Census
650.0,"500  VOLVO PKWY, CHESAPEAKE, VA, 23320",True,Exact,"500 VOLVO PKWY, CHESAPEAKE, VA, 23320",121792407.0,L,51.0,550.0,20805.0,1046.0,-76.24311,36.76693,Census
530.0,"6400  BROADWAY BLVD UNIT B, LOS ANGELES, CA, 90003",True,ROOFTOP,,,,,,,,-118.277923,33.98122539999999,Google
651.0,"500  VOLVO PARKWAY, CHESAPEAKE, VA, 23320",True,Exact,"500 VOLVO PKWY, CHESAPEAKE, VA, 23320",121792407.0,L,51.0,550.0,20805.0,1046.0,-76.24311,36.76693,Census
410.0,"9589  TOPANGA CANYON BLVD, CHATSWORTH, CA, 91311",True,Exact,"9589 TOPANGA CANYON BLVD, CHATSWORTH, CA, 91311",141807136.0,L,6.0,37.0,113237.0,1024.0,-118.60671,34.24398,Census
531.0,"4712  ALBANY DR  # B202, SAN JOSE, CA, 95129",True,Exact,"4712 ALBANY DR, SAN JOSE, CA, 95129",635290503.0,R,6.0,85.0,506203.0,2011.0,-121.98533,37.321304,Census
652.0,"3222  WINONA WAY, NORTH HIGHLANDS, CA, 95660",True,Exact,"3222 WINONA WAY, N HIGHLANDS, CA, 95660",629159787.0,L,6.0,67.0,7301.0,3203.0,-121.38983999999999,38.65173,Census
411.0,", ARTOIS, CA, 95913",False,,,,,,,,,,,
532.0,"2098  HARVEST RD  # C-230, SAN DIEGO, CA, 92154",True,ROOFTOP,,,,,,,,-116.9447082,32.5592463,Google
653.0,"500  VOLVO PKWY, CHEASPEAKE, VA, 23320",True,Non_Exact,"500 VOLVO PKWY, CHESAPEAKE, VA, 23320",121792407.0,L,51.0,550.0,20805.0,1046.0,-76.24311,36.76693,Census
412.0,"5431  MEADOW CIRCLE, HUNTINGTON BEACH, CA, 92647",True,Non_Exact,"5431 MEADOW CIR, HUNTINGTON BEACH, CA, 92649",144014162.0,R,6.0,59.0,99408.0,2000.0,-118.03371399999999,33.71754,Census
533.0,"3510  HILLTOP ROAD, MOSS LANDING, CA, 95039",True,ROOFTOP,,,,,,,,-121.782431,36.85868,Google
654.0,"1051  MARTIN LUTHER KING JR, LOS ANGELES, CA, 90062",True,RANGE_INTERPOLATED,,,,,,,,-118.2934678,34.0108667,Google
413.0,"505  PACIFIC AVE, SAN PEDRO, CA, 90731",True,ROOFTOP,,,,,,,,-118.28842809999999,33.7394729,Google
534.0,"1001  WHITTIER BLVD., LA HABRA, CA, 90631",True,Non_Exact,"1001 W WHITTIER BLVD, LA HABRA, CA, 90631",144004854.0,R,6.0,59.0,1101.0,3020.0,-117.9572,33.939116999999996,Census
655.0,"27045  BIG HORN MTN, WAY YORBA LINDA, CA, 92887",True,Non_Exact,"27045 BIG HORN MOUNTAIN WAY, YORBA LINDA, CA, 92887",144415732.0,L,6.0,59.0,21828.0,3000.0,-117.70795,33.89017,Census
414.0,"1100  SUNBIRD DRIVE, WATSONVILLE, CA, 95070",True,Non_Exact,"1100 SUNBIRD DR, WATSONVILLE, CA, 95076",125523772.0,L,6.0,87.0,110200.0,1003.0,-121.761665,36.929134000000005,Census
535.0,"1717  MAIN ST, SANTA ANA, CA, 92707",True,Non_Exact,"1717 S MAIN ST, SANTA ANA, CA, 92707",144043885.0,L,6.0,59.0,74200.0,1010.0,-117.86781,33.72545,Census
656.0,"17325  CHATSWORTH STREET, LOS ANGELES, CA, 91344",True,Non_Exact,"17325 CHATSWORTH ST, GRANADA HILLS, CA, 91344",141542491.0,R,6.0,37.0,111202.0,1017.0,-118.51163000000001,34.264835,Census
415.0,", DALLAS, TX, 75221",False,,,,,,,,,,,
536.0,"10631  PALOMINO AVE., HESPERIA, CA, 92345",True,Non_Exact,"10631 PALAMINO AVE, HESPERIA, CA, 92345",627427419.0,R,6.0,71.0,10010.0,1028.0,-117.35457,34.44378,Census
657.0,"500  VOLVO PARKWAY, CHESAPEAKE, VA, 23320",True,Exact,"500 VOLVO PKWY, CHESAPEAKE, VA, 23320",121792407.0,L,51.0,550.0,20805.0,1046.0,-76.24311,36.76693,Census
416.0,"43485  ELLSWORTH ST., FREMONT, CA, 94539",True,Exact,"43485 ELLSWORTH ST, FREMONT, CA, 94539",125033848.0,R,6.0,1.0,443104.0,2007.0,-121.92071999999999,37.530502,Census
537.0,"17022  BELLFLOWER BLVD, BELLFLOWER, CA, 90706",True,Exact,"17022 BELLFLOWER BLVD, BELLFLOWER, CA, 90706",141742073.0,L,6.0,37.0,554203.0,2004.0,-118.1252,33.87955,Census
