id,address,match,matchtype,parsed,tigerlineid,side,statefp,countyfp,tract,block,lon,lat
687,"475  SAN ANTONIO RD, LOS ALTOS, CA, 94022",Google,ROOFTOP,,,,,,,,-122.1139437,37.3745135
325,"141  WILLOW ST STE R, LONG BEACH, CA, 90806",Google,ROOFTOP,,,,,,,,-118.19126,33.8055242
446,"61  WHITE, BLOSSOM IRVINE, CA, 92620",Google,RANGE_INTERPOLATED,,,,,,,,-117.7560408,33.6908261
567,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
447,"83957  INDIO BLVD, INDIO, CA, 92201",Google,ROOFTOP,,,,,,,,-116.2004439,33.7096773
207,"40103 HIGHWAY 33, KETTLEMAN CITY, CA, 93239",Google,RANGE_INTERPOLATED,,,,,,,,-120.047453,35.8907811
449,"1008 AVE M14  STE A D180, PALMDALE, CA, 93551",Google,ROOFTOP,,,,,,,,-118.148437,34.63272329999999
208,"40103 HIGHWAY 33, KETTLEMAN CITY, CA, 93239",Google,RANGE_INTERPOLATED,,,,,,,,-120.047453,35.8907811
209,"200  G' STREET, PORTERVILLE, CA, 93257",Google,ROOFTOP,,,,,,,,-119.0228296,36.0618882
451,"16309  SAN, JACINTO FOUNTAIN VALLEY, CA, 92708",Google,ROOFTOP,,,,,,,,-117.9240077,33.7264873
213,"135  POLK, COALINGA, CA, 93210",Google,RANGE_INTERPOLATED,,,,,,,,-120.3644355,36.13630029999999
338,"135  CARRILLO STREET, SANTA BARBARA, CA, 93101",Google,ROOFTOP,,,,,,,,-119.6999272,34.4236709
218,"304  PETALUMA BLVD, PETALUMA, CA, 94952",Google,ROOFTOP,,,,,,,,-122.642029,38.2375677
581,"49-968 HWY 86, COACHELLA, CA, 92236",Google,RANGE_INTERPOLATED,,,,,,,,-116.0598284,33.4262489
340,"906  GLENAOKS BLVD, BURBANK, CA, 91502",Google,ROOFTOP,,,,,,,,-118.297905,34.17747689999999
583,"11780 US HWY 1   # 400, NORTH PALM BEACH, FL, 33408",Google,ROOFTOP,,,,,,,,-80.05839809999999,26.8495948
463,"4935  MC CONNELL AVE  # 9, LOS ANGELES, CA, 90066",Google,ROOFTOP,,,,,,,,-118.4238938,33.9828832
101,"135  CARRILLO STREET, SANTA BARBARA, CA, 93101",Google,ROOFTOP,,,,,,,,-119.6999272,34.4236709
343,"1225  17TH STREET, SANTA ANA, CA, 92706",Google,RANGE_INTERPOLATED,,,,,,,,-117.8536015,33.7600099
586,"2715  KETTLEMAN LN STE 203-197, LODI, CA, 95242",Google,ROOFTOP,,,,,,,,-121.3091726,38.1160707
103,"906  GLENAOKS BLVD, BURBANK, CA, 91502",Google,ROOFTOP,,,,,,,,-118.297905,34.17747689999999
466,"82  SEA ISLAND DR., NEWPORT BEACH, CA, 92660",Google,ROOFTOP,,,,,,,,-117.8716802,33.629445
346,"3990  FIRGUEROA ST, LOS ANGELES, CA, 90037",Google,ROOFTOP,,,,,,,,-118.2820821,34.0115357
226,"1330 AVE OF AMERICAS, NEW YORK, NY, 10032",Google,ROOFTOP,,,,,,,,-73.97845029999999,40.76193079999999
347,"828  HERMOSA AVE, HERMOSA BEACH, CA, 90254",Google,ROOFTOP,,,,,,,,-118.3991037,33.8596287
106,"1225  17TH STREET, SANTA ANA, CA, 92706",Google,RANGE_INTERPOLATED,,,,,,,,-117.8536015,33.7600099
227,", LOS ANGELES, CA, 90025",Google,APPROXIMATE,,,,,,,,-118.4484367,34.0448583
109,"3990  FIRGUEROA ST, LOS ANGELES, CA, 90037",Google,ROOFTOP,,,,,,,,-118.2820821,34.0115357
350,"3800  NORTON AVE, LOS ANGELES, CA, 90008",Google,ROOFTOP,,,,,,,,-118.3326111,34.0172333
471,"1051  MARTIN LUTHER KING JR, LOS ANGELES, CA, 90062",Google,RANGE_INTERPOLATED,,,,,,,,-118.2934678,34.0108667
110,"828  HERMOSA AVE, HERMOSA BEACH, CA, 90254",Google,ROOFTOP,,,,,,,,-118.3991037,33.8596287
596,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
113,"3800  NORTON AVE, LOS ANGELES, CA, 90008",Google,ROOFTOP,,,,,,,,-118.3326111,34.0172333
356,"8  SCHOOL ST., LODI, CA, 95240",Google,ROOFTOP,,,,,,,,-121.273403,38.13466349999999
357,"5111  COLLEGE OAK DR STE A & B, SACRAMENTO, CA, 95841",Google,ROOFTOP,,,,,,,,-121.3512361,38.6593808
599,"2333  SAN RAMON VALLEY BLVD. STE 450, SAN RAMON, CA, 94583",Google,ROOFTOP,,,,,,,,-121.9793565,37.7770313
238,"4335  VINELAND AVE. APT 112, STUDIO CITY, CA, 91602",Google,ROOFTOP,,,,,,,,-118.3707296,34.1492099
119,"8  SCHOOL ST., LODI, CA, 95240",Google,ROOFTOP,,,,,,,,-121.273403,38.13466349999999
10,"88740  70TH AVE, THERMAL, CA, 92274",Google,ROOFTOP,,,,,,,,-116.1193548,33.5407221
14,"2415  BONNEYVIEW DR, REDDING, CA, 96001",Google,ROOFTOP,,,,,,,,-122.3809838,40.5292097
15,"40103 HIGHWAY 33, KETTLEMAN CITY, CA, 93239",Google,RANGE_INTERPOLATED,,,,,,,,-120.047453,35.8907811
16,"95  MARKET ST, THIRD FL SAN JOSE, CA, 95113",Google,ROOFTOP,,,,,,,,-121.891648,37.3337384
19,"19953  HONEY HILL DRIVE, MIDDLETOWN, CA, 95461",Google,ROOFTOP,,,,,,,,-122.539924,38.796124
361,"245  VERMONT AVE., LOS ANGELES, CA, 90004",Google,RANGE_INTERPOLATED,,,,,,,,-118.2919106,34.0693356
482,"1051  MARTIN LUTHER KING JR, LOS ANGELES, CA, 90062",Google,RANGE_INTERPOLATED,,,,,,,,-118.2934678,34.0108667
120,"5111  COLLEGE OAK DR STE A & B, SACRAMENTO, CA, 95841",Google,ROOFTOP,,,,,,,,-121.3512361,38.6593808
242,"ONE  CVS DRIVE, WOONSOCKET, RI, 02895",Google,ROOFTOP,,,,,,,,-71.47764579999999,41.9903803
363,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
243,"ONE  CVS DR, WOONSOCKET, RI, 02895",Google,ROOFTOP,,,,,,,,-71.47764579999999,41.9903803
124,"11715  WASHINGTON PL., LOS ANGELES, CA, 90066",Google,ROOFTOP,,,,,,,,-118.4216499,34.0044352
245,", , , nan",Google,ROOFTOP,,,,,,,,-84.389488,33.791638
246,"440  EL CIELO RD  B1 & B2, PALM SPRINGS, CA, 92262",Google,ROOFTOP,,,,,,,,-116.5098599,33.8174981
489,"4900  DUBLIN GRANVILLE RD, COLUMBUS, OH, 43081",Google,ROOFTOP,,,,,,,,-82.85714449999999,40.0798843
127,"6080  CENTER DR  # 600, LOS ANGELES, CA, 90045",Google,ROOFTOP,,,,,,,,-118.3915724,33.9768046
248,"452  LOS ROBLES, PASADENA, CA, 91101",Google,RANGE_INTERPOLATED,,,,,,,,-118.1412704,34.1534837
369,"355  BRISTOL STREET STE. C, COSTA MESA, CA, 92626",Google,ROOFTOP,,,,,,,,-117.8804996,33.664597
249,"6746  ELK GROVE-FLORIN RD, ELK GROVE, CA, 95624",Google,RANGE_INTERPOLATED,,,,,,,,-121.3721693,38.4960733
129,"47  500, BOUNTIFUL, UT, 84010",Google,ROOFTOP,,,,,,,,-111.8794201,40.8846017
28,"431  HORATIO AVE STE 210, AVANTI PROPER MAITLAND, FL, 32751",Google,ROOFTOP,,,,,,,,-81.3621617,28.6279448
29,"431  HORATIO AVE STE 210, AVANTI PROPER MAITLAND, FL, 32751",Google,ROOFTOP,,,,,,,,-81.3621617,28.6279448
491,"4900  DUBLIN GRANVILLE RD, COLUMBUS, OH, 43081",Google,ROOFTOP,,,,,,,,-82.85714449999999,40.0798843
