IMPAQ_ID,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,SoS_record,entity,agent_name,store_address,agent_address,agent_city,agent_state,agent_zip
38,7-ELEVEN,HWY. 160 & HWY. 163,,KAYENTA,AZ,86033,34.64115906,-111.7825394,"HWY. 160 & HWY. 163  KAYENTA, AZ 86033",Original,38.0,,,Correct,Correct,Correct,Correct,Active,7-ELEVEN,"HWY. 160 & HWY. 163  KAYENTA, AZ 86033",34.64115906,-111.7825394,POINT (-115.1728215 36.0572398),No,8.526421997,,,Navajo Nation,Navajo Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,CLARK,F00092778,"7-ELEVEN, INC.",CORPORATE CREATIONS NETWORK IN,"Address: % CORPORATE CREATIONS NETWORK 3260 N HAYDEN ROAD #210, SCOTTSDALE, AZ, 85251, USA",3260 N HAYDEN RD # 210 SCOTTSDALE AZ 85251 USA,SCOTTSDALE,AZ,85251
39,7-ELEVEN,417 MAIN ST.,,TUBA CITY,AZ,86045,36.125296999999996,-111.236398,"417 MAIN ST.  TUBA CITY, AZ 86045",Original,39.0,,,Correct,Correct,Correct,Correct,Active,7-ELEVEN,"417 MAIN ST. TUBA CITY, AZ 86045",36.125296999999996,-111.236398,POINT (-111.236398 36.125297),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,COCONINO,F00092778,"7-ELEVEN, INC.",CORPORATE CREATIONS NETWORK IN,"Address: % CORPORATE CREATIONS NETWORK 3260 N HAYDEN ROAD #210, SCOTTSDALE, AZ, 85251, USA",3260 N HAYDEN RD # 210 SCOTTSDALE AZ 85251 USA,SCOTTSDALE,AZ,85251
40,7-ELEVEN,HWY. 191,,MANY FARMS,AZ,86538,36.352802000000004,-109.61797,"HWY. 191  MANY FARMS, AZ 86538",Original,40.0,1.0,yes,Correct,Correct,Correct,Correct,Active,7-ELEVEN,"HWY. 191 MANY FARMS, AZ 86538",36.352802000000004,-109.61797,POINT (-109.61797 36.352802),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,APACHE,F00092778,"7-ELEVEN, INC.",CORPORATE CREATIONS NETWORK IN,"Address: % CORPORATE CREATIONS NETWORK 3260 N HAYDEN ROAD #210, SCOTTSDALE, AZ, 85251, USA",3260 N HAYDEN RD # 210 SCOTTSDALE AZ 85251 USA,SCOTTSDALE,AZ,85251
45,BASHAS,1020 W. AZ DR.,,PARKER,AZ,85344,34.14674,-114.28884599999999,"1020 W. AZ DR.  PARKER, AZ 85344",Original,45.0,,,Correct,"1020 W Arizona Ave, Parker, AZ 85344, USA",34.147022,-114.2896637,Closed,BASHAS,"1020 W Arizona Ave, Parker, AZ 85344, USA",34.147022,-114.2896637,POINT (-114.2896637 34.147022),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,1020 W ARIZONA AVE,PARKER,AZ,85344,,LA PAZ,00446054,BASHAS' INC.,ANDREW ABRAHAM,"Address: 22402 S BASHA RD, CHANDLER, AZ, 85248, USA",BURCH & CRACCHIOLO PA 702 E OSBORN RD # 200 PHOENIX AZ 85014 USA,PHOENIX,AZ,85014
55,BLACK MESA SHOPPING CENTER,HWY. 160 & HWY. 564,,BLACK MESA,AZ,86503,,,"HWY. 160 & HWY. 564  BLACK MESA, AZ 86503",Original,55.0,,,Correct,Correct,Correct,Correct,Active,BLACK MESA SHOPPING CENTER,"HWY. 160 & HWY. 564 BLACK MESA, AZ 86503",,,POINT (nan nan),Unknown,,Unknown,Unknown,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,,02443352,"BLACK MESA SHOPPING CENTER, INC.",TAMMY VAN KEUREN,"Address: PO BOX 249, KAYENTA, AZ, 86033, USA",HWY 160 & 564 TONALEA AZ 86044 USA,TONALEA,AZ,86044
61,CASINO ARIZONA,524 N. 92ND ST.,,SCOTTSDALE,AZ,85256,33.453694,-111.883321,"524 N. 92ND ST.  SCOTTSDALE, AZ 85256",Original,61.0,,,Correct,Correct,Correct,Correct,Active,CASINO ARIZONA,"524 N. 92ND ST. SCOTTSDALE, AZ 85256",33.453694,-111.883321,POINT (-111.883321 33.453694),Yes,0.0,Salt River,Salt River Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,MARICOPA,,,,,,,,
63,CHEVRON,RTE. 7,,CHINLE,AZ,86503,36.123495,-109.4847788,"RTE. 7  CHINLE, AZ 86503",Google,63.0,,,Correct,Correct,Correct,Correct,Active,CHEVRON,"RTE. 7 CHINLE, AZ 86503",36.123495,-109.4847788,POINT (-109.4847788 36.123495),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,No changes,No changes,No changes,No changes,,APACHE,,,,,,,,
64,CHEVRON,320 CASTLE LANE,,CAMP VERDE,AZ,86322,34.609814,-111.85986399999999,"320 CASTLE LANE  CAMP VERDE, AZ 86322",Original,64.0,,,Correct,Correct,Correct,Correct,Active,CHEVRON,"320 CASTLE LANE CAMP VERDE, AZ 86322",34.609814,-111.85986399999999,POINT (-111.859864 34.609814),No,0.07136622599999999,,,Yavapai-Apache Nation,Yavapai-Apache Nation Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,YAVAPAI,,,,,,,,
66,CIRCLE K,1516 S. CA AVE.,,PARKER,AZ,85344,34.145227,-114.285976,"1516 S. CA AVE.  PARKER, AZ 85344",Original,66.0,,,Correct,"1516 S California Ave, Parker, AZ 85344, USA",34.1445607,-114.2859445,Active,CIRCLE K,"1516 S California Ave, Parker, AZ 85344, USA",34.1445607,-114.28594450000001,POINT (-114.2859445 34.1445607),Yes,0.0,Colorado River,Colorado River Indian Reservation,,,From Original List,,,,,,1516 S CALIFORNIA AVE,PARKER,AZ,85344,,LA PAZ,,,,,,,,
67,CIRCLE K,8861 RIVERSIDE DR.,,PARKER,AZ,85344,34.200094,-114.220454,"8861 RIVERSIDE DR.  PARKER, AZ 85344",Original,67.0,,,Correct,Correct,Correct,Correct,Active,CIRCLE K,"8861 RIVERSIDE DR. PARKER, AZ 85344",34.200094,-114.220454,POINT (-114.220454 34.200094),No,0.753166819,,,Colorado River,Colorado River Indian Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,LA PAZ,,,,,,,,
