Unnamed: 0,IMPAQ_ID,REI,DBA Name,Address Line 1,Address Line 2,City,State,Zip,Latitude,Longitude,Full Address,matchsource,est_id,found_pic,Manual Result,name_update,addr_update,lat_update,lon_update,biz_status,DBA Name_update,Full Address_update,Latitude_update,Longitude_update,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Address Line 1_update,City_update,State_update,Zip_update,County,County_update,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
1314,1314,OK745978,PEACE PIPE INDIAN SMOKE SHOP,11301 N GARNETT RD.,,OWASSO,OK,74055,36.317922,-95.848108,"11301 N GARNETT RD.  OWASSO, OK 74055",Original,1314.0,,,Correct,Correct,Correct,Correct,Active,PEACE PIPE INDIAN SMOKE SHOP,"11301 N GARNETT RD. OWASSO, OK 74055",36.317921999999996,-95.848108,POINT (-95.848108 36.317922),No,10.01708909,,,Osage,Osage Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,TULSA,,,,,,,
1315,1315,OK745979,RED BIRD INDIAN SMOKE SHOP,1526 80TH ST.,,GROVE,OK,74344,36.618239,-94.810565,"1526 80TH ST.  GROVE, OK 74344",Original,1315.0,1.0,yes,REDBIRD INDIAN SMOKESHOP,Correct,Correct,Correct,Active,REDBIRD INDIAN SMOKESHOP,"1526 80TH ST. GROVE, OK 74344",36.618239,-94.810565,POINT (-94.810565 36.618239),No,17.66174746,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,DELAWARE,,,,,,,
1316,1316,OK745980,SALINE CREEK SMOKE SHOP,521 S SALTWELL ST.,,SALINA,OK,74365,36.288932,-95.148529,"521 S SALTWELL ST.  SALINA, OK 74365",Original,1316.0,,,Correct,Correct,Correct,Correct,Active,SALINE CREEK SMOKE SHOP,"521 S SALTWELL ST. SALINA, OK 74365",36.288932,-95.14852900000001,POINT (-95.14852900000001 36.288932),No,40.61946493,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,MAYES,,,,,,,
1317,1317,OK745981,STILWELL SMOKE SHOP,119 W CEDAR ST.,,STILWELL,OK,74960,35.80934600000001,-94.627665,"119 W CEDAR ST.  STILWELL, OK 74960",Original,1317.0,,,Correct,Correct,Correct,Correct,Active,STILWELL SMOKE SHOP,"119 W CEDAR ST. STILWELL, OK 74960",35.809346000000005,-94.62766500000001,POINT (-94.62766500000001 35.80934600000001),No,71.83072678,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,ADAIR,,,,,,,
1318,1318,OK745982,TAHLEQUAH SMOKE SHOP,821 W CHOCTAW ST.,,TAHLEQUAH,OK,74465,35.914756,-94.983573,"821 W CHOCTAW ST.  TAHLEQUAH, OK 74465",Original,1318.0,,,Correct,"821 W Choctaw St, Tahlequah, OK 74464, USA",35.9145609,-94.9834946,Active,TAHLEQUAH SMOKE SHOP,"821 W Choctaw St, Tahlequah, OK 74464, USA",35.9145609,-94.9834946,POINT (-94.9834946 35.91456090000001),No,62.49922003,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,821 W CHOCTAW ST,TAHLEQUAH,OK,74464,,CHEROKEE,,,,,,,
1319,1319,OK745983,TALL CHIEF SMOKE SHOP,31485 US 69,,BIG CABIN,OK,74332,36.554438,-95.220339,"31485 US 69  BIG CABIN, OK 74332",Original,1319.0,,,Correct,Correct,36.5668607,-95.2202581,Closed,TALL CHIEF SMOKE SHOP,"31485 US 69 BIG CABIN, OK 74332",36.5668607,-95.2202581,POINT (-95.2202581 36.56686070000001),No,27.46879183,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,CRAIG,,,,,,,
1320,1320,OK745984,TWO TURTLES SMOKE SHOP,1004 E 63RD ST. N,,TULSA,OK,74126,36.245885,-95.978825,"1004 E 63RD ST. N  TULSA, OK 74126",Original,1320.0,,,Correct,Correct,Correct,Correct,Active,TWO TURTLES SMOKE SHOP,"1004 E 63RD ST. N TULSA, OK 74126",36.245884999999994,-95.978825,POINT (-95.978825 36.24588499999999),No,1.475428507,,,Osage,Osage Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,TULSA,,,,,,,
1321,1321,OK745985,TWO TURTLES SMOKE SHOP,743 EAST 98TH STREET NORTH,,SPERRY,OK,74073,36.29673,-95.983525,"743 EAST 98TH STREET NORTH  SPERRY, OK 74073",Original,1321.0,1.0,maybe,TWO TURTLES SPERRY,Correct,Correct,Correct,Active,TWO TURTLES SPERRY,"743 EAST 98TH STREET NORTH SPERRY, OK 74073",36.29673,-95.983525,POINT (-95.983525 36.29673),No,1.175977555,,,Osage,Osage Reservation,From Original List,,,,,,No changes,No changes,No changes,No changes,,TULSA,,,,,,,
1322,1322,OK745986,WARRIOR SMOKE SHOP,4TH & MAYES,,ADAIR,OK,74330,36.440504,-95.270325,"4TH & MAYES  ADAIR, OK 74330",Original,1322.0,,,Correct,Correct,Correct,Correct,Active,WARRIOR SMOKE SHOP,"4TH & MAYES ADAIR, OK 74330",36.440504,-95.270325,POINT (-95.270325 36.440504),No,35.86498545,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,MAYES,,,,,,,
1323,1323,OK745987,WILLY & BILLY'S TOBACCO SHACK,412 W ALLEN RD.,,TAHLEQUAH,OK,74464,35.929879,-94.973364,"412 W ALLEN RD.  TAHLEQUAH, OK 74464",Original,1323.0,,,Correct,Correct,Correct,Correct,Active,WILLY & BILLY'S TOBACCO SHACK,"412 W ALLEN RD. TAHLEQUAH, OK 74464",35.929879,-94.973364,POINT (-94.973364 35.929879),No,61.46350346,,,Miami/Peoria,Miami/Peoria joint-use OTSA,From Original List,,,,,,No changes,No changes,No changes,No changes,,CHEROKEE,3512720865,"WILLY & BILLY\'S TOBACCO SHACK, LLC",WILLIAM HERMAN AUGERHOLE,,TAHLEQUAH,OK,
