address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"100 Valley View Dr, Pender, NE, 68047",,,42.1081305,-96.7062561,True,ROOFTOP,,,,,,Google,POINT (-96.7062561 42.1081305),True,Omaha,Omaha Reservation,False,,,GEOMETRYCOLLECTION EMPTY,657784.0,657784,20181116,O-Open Store,APOTHECARY SHOPPE,,100 VALLEY VIEW DR,PENDER,NE,68047,Pender,31,173,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,402.0,3853350.0,"01-$1 to $500,000",5,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"427 E 4th St, Carnegie, OK, 73015",,,35.1020604,-98.5957882,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-98.5957882 35.1020604),True,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,False,,,GEOMETRYCOLLECTION EMPTY,7494447.0,7494447,20181116,O-Open Store,CARNEGIE PACKAGE STORE,,427 E 4TH ST,CARNEGIE,OK,73015,Carnegie,40,15,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,580.0,6541070.0,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"108 Blaine St, Saint Ignatius, MT, 59865",,,47.3189323,-114.09570169999999,True,ROOFTOP,,,,,,Google,POINT (-114.0957017 47.3189323),True,Flathead,Flathead Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1407857.0,1407857,20181116,O-Open Store,MONTANA AGENCY OUTLET,74,108 BLAINE ST,SAINT IGNATIUS,MT,59865,Saint Ignatius,30,47,USA,02-Liquor,2-Conventional Liquor,A-1 Store,C-Chain Store,406.0,7453000.0,"01-$1 to $500,000",4,2,0,0,999999,99999,Independent,,,,,176004,Montana Agency Outlet,Y,,
"508 3rd St, Kamiah, ID, 83536",,,46.2297218,-116.02739240000001,True,ROOFTOP,,,,,,Google,POINT (-116.0273924 46.2297218),True,Nez Perce,Nez Perce Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7448535.0,7448535,20181116,O-Open Store,IDAHO CONTRACT LIQUOR,372,508 3RD ST,KAMIAH,ID,83536,Kamiah,16,61,USA,02-Liquor,2-Conventional Liquor,A-1 Store,C-Chain Store,,,"03-$1,000,001 to $1,500,000",20,1,0,0,999999,99999,Independent,,,,,175980,Idaho Contract Liquor,Y,,
"1903 Euclid Ave, Horton, KS, 66439",,,39.6741775,-95.53051590000001,True,ROOFTOP,,,,,,Google,POINT (-95.53051590000001 39.6741775),True,Kickapoo (KS),Kickapoo (KS) Reservation,False,,,GEOMETRYCOLLECTION EMPTY,655161.0,655161,20181116,O-Open Store,KEX RX PHARMACY,,1903 EUCLID AVE,HORTON,KS,66439,Horton,20,13,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,785.0,4863651.0,"02-$500,001 to $1,000,000",15,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"1355 W Rogers Blvd Ste 8, Skiatook, OK, 74070",,,36.3679314,-96.01905740000001,True,ROOFTOP,,,,,,Google,POINT (-96.01905740000001 36.3679314),True,Osage,Osage Reservation,False,,,GEOMETRYCOLLECTION EMPTY,3670586.0,3670586,20181116,O-Open Store,CHARLOTTES COUNTRY SPIRITS,,1355 W ROGERS BLVD STE 8,SKIATOOK,OK,74070,Skiatook,40,113,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,918.0,3969595.0,"01-$1 to $500,000",9,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"49594 Us Highway 93, Polson, MT, 59860",2034.0,47.0,47.694416,-114.16051499999999,True,Non_Exact,"49594 US HWY 93, POLSON, MT, 59860",R,30.0,206887750.0,940301.0,Census,POINT (-114.160515 47.694416),True,Flathead,Flathead Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7347934.0,7347934,20181116,O-Open Store,MONTANA AGENCY OUTLET,54,49594 US HIGHWAY 93,POLSON,MT,59860,Polson,30,47,USA,02-Liquor,2-Conventional Liquor,A-1 Store,C-Chain Store,406.0,8835644.0,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,176004,Montana Agency Outlet,Y,,
"50331 Us Highway 93, Polson, MT, 59860",2049.0,47.0,47.692776,-114.14047,True,Non_Exact,"50331 US HWY 93, POLSON, MT, 59860",L,30.0,206903083.0,940301.0,Census,POINT (-114.14047 47.692776),True,Flathead,Flathead Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7419585.0,7419585,20181116,O-Open Store,PROVIDENCE LAKESHORE PHARMACY,,50331 US HIGHWAY 93,POLSON,MT,59860,Polson,30,47,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,406.0,8830342.0,"02-$500,001 to $1,000,000",15,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"6030 Us Highway 101, Amanda Park, WA, 98526",1016.0,27.0,47.45917,-123.89341,True,Non_Exact,"6030 US HWY 101, AMANDA PARK, WA, 98526",R,53.0,180596309.0,940000.0,Census,POINT (-123.89341 47.45917),True,Quinault,Quinault Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1415491.0,1415491,20181116,O-Open Store,RUBIES WINES SPIRITS & COUNTRY,,6030 US HIGHWAY 101,AMANDA PARK,WA,98526,Amanda Park,53,27,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,360.0,2882566.0,"01-$1 to $500,000",4,5,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"301 W Grand Ave, Ponca City, OK, 74601",,,36.7040599,-97.0868659,True,ROOFTOP,,,,,,Google,POINT (-97.08686590000001 36.7040599),True,Kaw/Ponca,Kaw/Ponca joint-use OTSA,False,,,GEOMETRYCOLLECTION EMPTY,621511.0,621511,20181116,O-Open Store,TONIS WESTSIDE REXALL DRUG,,301 W GRAND AVE,PONCA CITY,OK,74601,Ponca City,40,71,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,580.0,7654456.0,"02-$500,001 to $1,000,000",15,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"1002 W Arizona Ave, Parker, AZ, 85344",1080.0,12.0,34.146843,-114.28858000000001,True,Non_Exact,"1002 W ARIZONA AVE, PARKER, AZ, 85344",L,4.0,129726608.0,940200.0,Census,POINT (-114.28858 34.146843),True,Colorado River,Colorado River Indian Reservation,False,,,GEOMETRYCOLLECTION EMPTY,950935.0,950935,20181116,O-Open Store,UNITED DRUG APOTHECARY,845,1002 W ARIZONA AVE,PARKER,AZ,85344,Parker,4,12,USA,03-Drug,1-Rx Only and Small Indep,H-101-200 Stores,C-Chain Store,928.0,6692147.0,"03-$1,000,001 to $1,500,000",25,3,0,0,38708,95328,United Drug Co-Op,Phoenix,AZ,4.0,13.0,150039,United Drug,N,,
"503 S Riverside Dr, Espanola, NM, 87532",3087.0,39.0,35.987972,-106.06265,True,Exact,"503 RIVERSIDE DR, ESPANOLA, NM, 87532",R,35.0,640410007.0,940700.0,Census,POINT (-106.06265 35.987972),True,Santa Clara,Santa Clara Pueblo,False,,,GEOMETRYCOLLECTION EMPTY,801804.0,801804,20181116,O-Open Store,SAINT & SINNERS LIQUOR,,503 S RIVERSIDE DR,ESPANOLA,NM,87532,Espanola,35,39,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,505.0,7532757.0,"05-$2,000,001 to $4,000,000",40,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"391 E Makaala St, Hilo, HI, 96720",,,19.7010308,-155.0599936,True,ROOFTOP,,,,,,Google,POINT (-155.0599936 19.7010308),True,Waiakea,Waiakea Hawaiian Home Land,False,,,GEOMETRYCOLLECTION EMPTY,7464160.0,7464160,20181116,O-Open Store,CVS PHARMACY,17599,391 E MAKAALA ST,HILO,HI,96720,Hilo,15,1,USA,03-Drug,1-Rx Only and Small Indep,K-501+ Stores,C-Chain Store,808.0,9208605.0,"02-$500,001 to $1,000,000",15,2,0,0,208078,95266,CVS Division 8,Woonsocket,RI,44.0,7.0,402616,CVS Pharmacy/Target,N,,
"49968 Harrison St, Coachella, CA, 92236",2046.0,65.0,33.685707,-116.1815,True,Exact,"49968 HARRISON ST, COACHELLA, CA, 92236",L,6.0,640967730.0,940400.0,Census,POINT (-116.1815 33.685707),True,Cabazon,Cabazon Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1399997.0,1399997,20181116,O-Open Store,VICTORY LIQUOR,,49968 HARRISON ST,COACHELLA,CA,92236,Coachella,6,65,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,760.0,3988500.0,"01-$1 to $500,000",6,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"281 10th St, Plummer, ID, 83851",,,47.3355315,-116.88864040000001,True,ROOFTOP,,,,,,Google,POINT (-116.8886404 47.3355315),True,Coeur d'Alene,Coeur d'Alene Reservation,False,,,GEOMETRYCOLLECTION EMPTY,7478540.0,7478540,20181116,O-Open Store,IDAHO CONTRACT LIQUOR,394,281 10TH ST,PLUMMER,ID,83851,Plummer,16,9,USA,02-Liquor,2-Conventional Liquor,A-1 Store,C-Chain Store,208.0,6861616.0,"02-$500,001 to $1,000,000",15,1,0,0,999999,99999,Independent,,,,,175980,Idaho Contract Liquor,Y,,
"N Main St, Parshall, ND, 58770",,,47.9553021,-102.1334382,True,GEOMETRIC_CENTER,,,,,,Google,POINT (-102.1334382 47.9553021),True,Fort Berthold,Fort Berthold Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1411093.0,1411093,20181116,O-Open Store,BIG WATER BOTTLE SHOP,,N MAIN ST,PARSHALL,ND,58770,Parshall,38,61,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,701.0,8623723.0,"02-$500,001 to $1,000,000",15,5,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"63307 Us Highway 93, Ronan, MT, 59864",2007.0,47.0,47.535717,-114.09948999999999,True,Non_Exact,"63307 US HWY 93, RONAN, MT, 59864",L,30.0,639854706.0,940500.0,Census,POINT (-114.09949 47.535717),True,Flathead,Flathead Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1620037.0,1620037,20181116,O-Open Store,FAMILY HEALTH PHARMACY,,63307 US HIGHWAY 93,RONAN,MT,59864,Ronan,30,47,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,406.0,6762111.0,"02-$500,001 to $1,000,000",10,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"15051 State Highway 172, Ignacio, CO, 81137",,,37.1283331,-107.6370233,True,ROOFTOP,,,,,,Google,POINT (-107.6370233 37.1283331),True,Southern Ute,Southern Ute Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1870810.0,1870810,20181116,O-Open Store,THRIFTWAY LIQUOR,,15051 STATE HIGHWAY 172,IGNACIO,CO,81137,Ignacio,8,67,USA,02-Liquor,2-Conventional Liquor,A-1 Store,I-Independent Store,970.0,5639456.0,"05-$2,000,001 to $4,000,000",40,2,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"602 W Central Blvd, Anadarko, OK, 73005",,,35.072122,-98.2521495,True,ROOFTOP,,,,,,Google,POINT (-98.2521495 35.072122),True,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA,False,,,GEOMETRYCOLLECTION EMPTY,655356.0,655356,20181116,O-Open Store,LOVELLS PHARMACY,,602 W CENTRAL BLVD,ANADARKO,OK,73005,Anadarko,40,15,USA,03-Drug,1-Rx Only and Small Indep,A-1 Store,I-Independent Store,405.0,2473348.0,"02-$500,001 to $1,000,000",10,1,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,
"127 Main St SW, Ronan, MT, 59864",4066.0,47.0,47.528725,-114.09903999999999,True,Exact,"127 MAIN ST SW, RONAN, MT, 59864",L,30.0,206910928.0,940500.0,Census,POINT (-114.09904 47.528725),True,Flathead,Flathead Reservation,False,,,GEOMETRYCOLLECTION EMPTY,1000415.0,1000415,20181116,O-Open Store,MONTANA AGENCY OUTLET,101,127 MAIN ST SW,RONAN,MT,59864,Ronan,30,47,USA,02-Liquor,2-Conventional Liquor,A-1 Store,C-Chain Store,406.0,6760381.0,"03-$1,000,001 to $1,500,000",20,3,0,0,999999,99999,Independent,,,,,176004,Montana Agency Outlet,Y,,
