address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract
"981247 Kaahumanu St Ste 320A, Aiea, HI, 96701",,,684787,21.3885173,-157.9532073,Google,ROOFTOP,,,,,
"801 E Grand Xing, Mobridge, SD, 57601",,,1413912,45.5374158,-100.4239936,Google,ROOFTOP,,,,,
"811 N Riverside Dr, Espanola, NM, 87532",,,7304845,36.0022866,-106.0627796,Google,ROOFTOP,,,,,
"100 Jenkins Ranch Rd, Durango, CO, 81301",,,1617577,37.2802867,-107.8571696,Google,ROOFTOP,,,,,
"3232 Davie Blvd, Fort Lauderdale, FL, 33312",,,767888,26.1038821,-80.18801,Google,ROOFTOP,,,,,
"153 E Main St, Rock Hill, SC, 29730",,,7415380,34.9253059,-81.0261,Google,ROOFTOP,,,,,
"1150 W 8th St, Yuma, AZ, 85364",,,534207,32.7139305,-114.6338572,Google,ROOFTOP,,,,,
"7230 W Ray Rd Ste 4, Chandler, AZ, 85226",,,2056332,33.321437,-111.9678058,Google,ROOFTOP,,,,,
"91 N Main St, Cedar City, UT, 84720",,,620703,37.6790693,-113.0621569,Google,ROOFTOP,,,,,
"2085 23rd St, San Pablo, CA, 94806",,,1397995,37.9619452,-122.3468051,Google,ROOFTOP,,,,,
"45 480 Kaneohe Bay Dr Ste B17, Kaneohe, HI, 96744",,,7585892,21.4015408,-157.7989488,Google,ROOFTOP,,,,,
"63802 Us Highway 93, Ronan, MT, 59864",,,671611,47.5199872,-114.0964842,Google,ROOFTOP,,,,,
"1686 E Florence Blvd, Casa Grande, AZ, 85122",,,1783137,32.880118,-111.7149804,Google,ROOFTOP,,,,,
"1345 W Hobsonway, Blythe, CA, 92225",,,3824079,33.6117975,-114.6124233,Google,ROOFTOP,,,,,
"104 W Main St, Hominy, OK, 74035",,,655375,36.415271,-96.394379,Google,ROOFTOP,,,,,
"19 N State Road 7, Fort Lauderdale, FL, 33317",,,7576944,26.1210421,-80.2020419,Google,RANGE_INTERPOLATED,,,,,
"3148 W Oak St, Jena, LA, 71342",,,2492200,31.6844283,-92.1354724,Google,ROOFTOP,,,,,
"3220 N Reserve St, Missoula, MT, 59808",,,482042,46.8955098,-114.0380246,Google,GEOMETRIC_CENTER,,,,,
