address,block,countyfp,id,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource
"913 Main St, Lewiston, ID, 83501",2063.0,69.0,1401788.0,46.41955,-117.02141999999999,True,Exact,"913 MAIN ST, LEWISTON, ID, 83501",R,16.0,173130369.0,960300.0,Census
"5050 W Baseline Rd, Laveen, AZ, 85339",1019.0,13.0,2015695.0,33.377563,-112.16714499999999,True,Non_Exact,"5050 W BASELINE RD, LAVEEN, AZ, 85339",R,4.0,640589708.0,116605.0,Census
"201 Central Ave S, Dunn Center, ND, 58626",1704.0,25.0,1457586.0,47.351409999999994,-102.620514,True,Exact,"201 CENTRAL AVE S, DUNN CENTER, ND, 58626",R,38.0,200432476.0,962200.0,Census
"15175 Lakeshore Dr, Clearlake, CA, 95422",1000.0,33.0,2126188.0,38.949883,-122.62955,True,Exact,"15175 LAKESHORE DR, CLEARLAKE, CA, 95422",L,6.0,67047420.0,801.0,Census
"825 Klamath Ave, Klamath Falls, OR, 97601",3010.0,35.0,1412207.0,42.225784000000004,-121.78001,True,Exact,"825 KLAMATH AVE, KLAMATH FALLS, OR, 97601",L,41.0,156657500.0,971800.0,Census
"1532 Hwy 395 Ste 8, Gardnerville, NV, 89410",,,7504081.0,38.946836600000005,-119.7570356,True,ROOFTOP,,,,,,Google
"7120 Stirling Rd, Hollywood, FL, 33024",,,7441417.0,26.045573899999997,-80.23194079999999,True,RANGE_INTERPOLATED,,,,,,Google
"987 N Arizona Blvd, Coolidge, AZ, 85128",,,653610.0,32.9868012,-111.5236804,True,ROOFTOP,,,,,,Google
"5820 Stirling Rd, Hollywood, FL, 33021",1002.0,11.0,7001077.0,26.046770000000002,-80.20534,True,Exact,"5820 STIRLING RD, HOLLYWOOD, FL, 33021",L,12.0,633423327.0,90504.0,Census
"98 N Main St, Beaver, UT, 84713",3049.0,1.0,1746743.0,38.276790000000005,-112.64126599999999,True,Exact,"98 N MAIN ST, BEAVER, UT, 84713",R,49.0,165957627.0,100100.0,Census
"323 W Chocktoot St, Chiloquin, OR, 97624",,,390765.0,42.578378799999996,-121.86679720000001,True,ROOFTOP,,,,,,Google
"4125 Arctic Ave, Bellingham, WA, 98226",,,7499649.0,48.7912502,-122.51459240000001,True,ROOFTOP,,,,,,Google
"409 Tallulah Rd, Robbinsville, NC, 28771",,,3991088.0,35.3157564,-83.79968609999999,True,ROOFTOP,,,,,,Google
