Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,SoS_record,entity,agent_name,agent_address,agent_city,agent_state,agent_zip
1000,1000,LIL' ISLAND TOBACCO & COFFEE,Correct,LIL' ISLAND TOBACCO & COFFEE,215 TRIBAL ROAD 2,3513 -47,3513 -47,BOSQUE FARMS,Correct,BOSQUE FARMS,NM,Correct,NM,87068,Correct,87068.0,34.880877000000005,34.875682,34.875682,-106.687068,-106.69068670000001,-106.69068670000001,"215 TRIBAL ROAD 2  BOSQUE FARMS, NM 87068","3513 NM-47, Bosque Farms, NM 87068, USA","3513 NM-47, Bosque Farms, NM 87068, USA",,Correct,VALENCIA,,Original,1000.0,,,Active,POINT (-106.6906867 34.875682),Yes,0.0,Isleta,Isleta Pueblo,,,From Original List,,,,,,,,,,,,
1001,1001,CITY MARKET,Correct,CITY MARKET,U.S. HWY. 66 & NM HWY. 504,"US 491 & NM, US-64","US 491 & NM, US-64",SHIPROCK,Correct,SHIPROCK,NM,Correct,NM,87420,Correct,87420.0,35.0426401,36.776073100000005,36.77607310000001,-106.1451185,-108.6996273,-108.6996273,"U.S. HWY. 66 & NM HWY. 504  SHIPROCK, NM 87420","Us 491 & Nm, US-64, Shiprock, NM 87420, USA","Us 491 & Nm, US-64, Shiprock, NM 87420, USA",,Correct,SAN JUAN,,Google,1001.0,,,Active,POINT (-108.6996273 36.77607310000001),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,655852,"CITY MARKET, INC.",MERGED OUT OF EXISTENCE,SEE FT11 FOR SERVICE OF PROCESS,,,
1002,1002,MUSTANG,Can't Validate,MUSTANG,491 S. HWY. 64 W.,Can't Validate,491 S. HWY. 64 W.,SHIPROCK,Can't Validate,SHIPROCK,NM,Can't Validate,NM,87420,Can't Validate,87420.0,36.78435,Can't Validate,36.78435,-108.667,Can't Validate,-108.667,"491 S. HWY. 64 W.  SHIPROCK, NM 87420",Can't Validate,"491 S. HWY. 64 W. SHIPROCK, NM 87420",,Can't Validate,SAN JUAN,,Original,1002.0,0.0,,Can't Validate,POINT (-108.667 36.78435),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,,,,,,,
1003,1003,RED MESA TRADING CO.,Correct,RED MESA TRADING CO.,HWY. 666 & 64,Correct,HWY. 666 & 64,SHIPROCK,Correct,SHIPROCK,NM,Correct,NM,87420,Correct,87420.0,36.7855543,Correct,36.7855543,-108.6870322,Correct,-108.6870322,"HWY. 666 & 64  SHIPROCK, NM 87420",Correct,"HWY. 666 & 64 SHIPROCK, NM 87420",,Correct,SAN JUAN,,Google,1003.0,,,Active,POINT (-108.6870322 36.78555429999999),Yes,0.0,Navajo Nation,Navajo Nation Reservation,,,From Original List,,,,,,1223940,"RED MESA TRADING CO., INC.",ROBERT G MOSS,501 AIRPORT DR STE 100 FARMINGTON NM 87401,FARMINGTON,NM,87401
1004,1004,FOUR WINDS TRAVEL CENTER,Correct,FOUR WINDS TRAVEL CENTER,2401 12TH ST NW,Correct,2401 12TH ST NW,ALBUQUERQUE,Correct,ALBUQUERQUE,NM,Correct,NM,87104,87102,87102.0,35.109977,35.1092933,35.1092933,-106.658393,-106.65911229999999,-106.65911229999999,"2401 12TH ST NW  ALBUQUERQUE, NM 87104","2401 12th St NW, Albuquerque, NM 87102, USA","2401 12th St NW, Albuquerque, NM 87102, USA",,Correct,BERNALILLO,,Original,1004.0,,,Active,POINT (-106.6591123 35.1092933),No,6.915906742425287,,,Sandia,Sandia Pueblo,From Original List,,,,,,,,,,,,
1941,1941,,,RED ROCK PACKAGE,1204 HWY 371,Correct,1204 HWY 371,GALLUP,Correct,GALLUP,NM,Correct,NM,87301,Correct,87301.0,,,35.5232681,,,-108.1331075,,,"1204 Hwy 371, Gallup, NM, 87301",,Correct,MCKINLEY,,,,,,Active,POINT (-108.1331075 35.5232681),Yes,,Navajo Nation,Navajo Nation Off-Reservation Trust Land,,,New Retailer,Independent,,,N,2222404.0,,,,,,,
1942,1942,,,JAKES LIQUOR STORE,68 CITIES OF GOLD RD,Correct,68 CITIES OF GOLD RD,SANTA FE,Correct,SANTA FE,NM,Correct,NM,87506,Correct,87506.0,,,35.88394500000001,,,-106.01413000000001,,,"68 Cities Of Gold Rd, Santa Fe, NM, 87506",,Correct,SANTA FE,,,,,,Active,POINT (-106.01413 35.88394500000001),Yes,,Pojoaque,Pueblo of Pojoaque,,,New Retailer,Independent,,,N,7180668.0,,,,,,,
1949,1949,,,SAGEBRUSH LIQUORS,425 HWY 264 STE A,Correct,425 HWY 264 STE A,GALLUP,Correct,GALLUP,NM,Correct,NM,87301,Correct,87301.0,,,35.66344470000001,,,-109.0558111,,,"425 Hwy 264 Ste A, Gallup, NM, 87301",,Correct,APACHE,,,,,,Active,POINT (-109.0558111 35.66344470000001),Yes,,Navajo Nation,Navajo Nation Reservation,,,New Retailer,Independent,,,N,1631419.0,,,,,,,
1950,1950,,,LA CHIRIPADA,103 BENT ST,Correct,103 BENT ST,TAOS,Correct,TAOS,NM,Correct,NM,87571,Correct,87571.0,,,36.40828,,,-105.57263,,,"103 Bent St, Taos, NM, 87571",,Correct,TAOS,,,,,,Active,POINT (-105.57263 36.40828),Yes,,Taos,Taos Pueblo,,,New Retailer,Independent,,,N,1408983.0,1840370,LA CHIRIPADA LTD. CO.,MICHAEL R. JOHNSON,HIGHWAY 75 RD 1119 DIXON NM 87527,DIXON,NM,87527
1952,1952,,,EL PRADO LIQUORS,1102 PASEO DEL PUEBLO NORTE,Correct,1102 PASEO DEL PUEBLO NORTE,EL PRADO,Correct,EL PRADO,NM,Correct,NM,87529,Correct,87529.0,,,36.4287226,,,-105.57531270000001,,,"1102 Paseo Del Pueblo Norte, El Prado, NM, 87529",,Correct,TAOS,,,,,,Active,POINT (-105.5753127 36.4287226),Yes,,Taos,Taos Pueblo,,,New Retailer,Independent,,,N,801676.0,,,,,,,
