est_id,DBA Name,bizname,Full Address,formatted_address,name_score,AddressNumber_score,StreetName_score,StreetNamePostType_score,ZipCode_score,dist_miles
144,TONTO APACHE MARKET & SMOKE SHOP,TONTO APACHE TRIBE,"HWY. 87  PAYSON, AZ 85541","30 Tonto Apache Tribe Reservation, Payson, AZ 85541, USA",0.9724099550934868,,0.0,,1.0,0.04305354553197836
145,TOTSHO TRADING POST,TOTSOH TRADING POST,"101 MAIN ST.  LUKACHUKAI, AZ 86507","Rte 13, Lukachukai, AZ 86507, USA",0.033513654435247335,,0.0,,1.0,0.04504699579338418
147,TUUVI TRAVEL CENTER,TUUVI TRAVEL CENTER,"JCT. OF HWY. 160 & STATE RTE. 264  TUBA CITY, AZ 86045","AZ-264, Tuba City, AZ 86045, USA",1.0,-1.0,-1.0,-1.0,-1.0,0.04057775333401231
151,VEKOL MARKET CAFE AND DELI,VEKOL MARKET,"47021 W. FARELL RD.  MARICOPA, AZ 85139","47021 W Farrell Rd, Maricopa, AZ 85139, USA",1.0,1.0,0.0,1.0,1.0,0.02738002840904561
153,WILLOW VALLEY LIQUOR STORE,WILLOW VALLEY LIQUOR STORE,"8045 S. HWY. 95  MOHAVE VALLEY, AZ 86440","8045 AZ-95, Mohave Valley, AZ 86440, USA",1.0,1.0,0.0,,1.0,0.14756777592314396
154,MTO SMOKE SHOP,MTO SMOKE SHOP,"190 W. PIMA ST  SACATON, AZ 85147","190 W Pima St #1, Sacaton, AZ 85247, USA",1.0,1.0,1.0,1.0,0.0,0.10793030368359678
155,FORT MCDOWELL YAVAPAI NATION LIFT STATION,FORT MCDOWELL YAVAPAI NATION TRIBAL LIBRARY,"18460 E JAVELINA TRL  FORT MCDOWELL, AZ 85264","16708 N Fort McDowell Rd, Fort McDowell, AZ 85264, USA",0.9973055556857562,0.0,0.0,0.0,1.0,0.059977171481653525
160,76/ERNIES SMOKE SHOP ,ERNIES MINI MART,"20 E STATE ROUTE 260  CAMP VERDE, AZ 86322","20 AZ-260, Camp Verde, AZ 86322, USA",0.0,-1.0,-1.0,-1.0,-1.0,0.05553083846079485
170,SYCUAN CASINO,SYCUAN CASINO,"5485 CASINO WAY  EL CAJON, CA 92019","5469 Casino Way, El Cajon, CA 92019, USA",1.0,0.0,1.0,1.0,1.0,0.0780629709134427
172,PALA STORE,PALA STORE AND DELI,"S S PALA MISSION RD OPPOSITE MSN  PALA, CA 92059","3000 E Pala Mission, Pala, CA 92059, USA",1.0,,1.0,0.0,1.0,0.2571833774266478
173,PALA CASINO,PALA CASINO SPA & RESORT,"11154 HWY 76  PALA, CA 92059","11154 CA-76, Pala, CA 92059, USA",1.0,1.0,0.0,,1.0,0.012337539371238654
178,VALLEY SMOKE DEPOT,VALLEY SMOKE & WIRELESS,"35877 DATE PALM DR STE D7  CATHEDRAL CITY, CA 92234","32275 Date Palm Dr, Cathedral City, CA 92234, USA",0.16843774340714368,0.0,1.0,1.0,1.0,0.012892381550569468
193,CHUMASH CASINO RESORT & ENTERPRISE,CHUMASH CASINO RESORT,"3400 E HIGHWAY 246  SANTA YNEZ, CA 93460","3400 CA-246, Santa Ynez, CA 93460, USA",1.0,1.0,0.0,,1.0,0.1032323498299026
195,FORT INDEPENDENCE TRAVEL PLAZA,FORT INDEPENDENCE TRAVEL PLAZA & WINNEDUMAH WINNS CASINO,"135 N HWY 395  INDEPENDENCE, CA 93526","135 US-395, Independence, CA 93526, USA",1.0,1.0,0.0,,1.0,0.013753836853316428
197,TABLE MOUNTAIN CASINO,TABLE MOUNTAIN CASINO,"8184 TABLE MT.RD.  FRIANT, CA 93626","8184 Table Mountain Rd, Friant, CA 93626, USA",1.0,1.0,0.5,,1.0,0.20348194207312376
203,CACHE CREEK CASINO GIFT SHOP AND MINI MART,CACHE CREEK CASINO RESORT,"14455 STATE HIGHWAY 16  BROOKS, CA 95606","14455 CA-16, Brooks, CA 95606, USA",0.8856995754654347,1.0,0.0,,1.0,0.04768534146463825
208,RED HAWK CASINO,RED HAWK CASINO,"ONE RED HAWK PARKWAY  PLACERVILLE, CA 95667","1 Red Hawk Pkwy, Placerville, CA 95667, USA",1.0,0.0,1.0,1.0,1.0,0.5361574652051644
209,COLUSA CASINO & BINGO,COLUSA CASINO RESORT,"3770 STATE HIGHWAY 45  COLUSA, CA 95932","3770 CA-45, Colusa, CA 95932, USA",0.9983108636299816,1.0,0.0,,1.0,0.27970406356242056
213,DIAMOND MOUNTAIN CASINO,DIAMOND MOUNTAIN CASINO & HOTEL,"900 SKYLINE DR  SUSANVILLE, CA 96130","900 Skyline Rd, Susanville, CA 96130, USA",1.0,1.0,1.0,0.0,1.0,0.11733065599830535
217,HIDDEN VALLEY CONVENIENCE STORE,HIDDEN OAKS CONVENIENCE STORE & GAS STATION,"76700 COVELO RD STE A  COVELO, CA 95428","76600 Covelo Rd, Covelo, CA 95428, USA",0.8765248575778275,0.0,1.0,1.0,1.0,0.056692565837531524
220,WILLOW GLEN SMOKE SHOP,WILLOW GLEN SMOKE SHOP,"31793 HWY 41  COARSEGOLD, CA 93614","31793 CA-41, Coarsegold, CA 93614, USA",0.9999999999999998,1.0,0.0,,1.0,0.036944268870323344
222,RANCH GENERAL STORE,FURNACE CREEK RESORT - GENERAL STORE,"CA 190  DEATH VALLEY, CA 92328","CA-190, Death Valle, CA 92328, USA",0.10413723422141584,-1.0,-1.0,-1.0,-1.0,0.0291390206405906
223,OHOSHA TOBACCO SHOP AT RIVER ROCK CASINO,RIVER ROCK CASINO,"3250 HWY. 128  GEYSERVILLE, CA 95441","3250 CA-128, Geyserville, CA 95441, USA",1.0,1.0,0.0,,1.0,0.11226389579788153
227,FORT BIDWELL STORE,FORT BIDWELL STORE,"99 W. BRIDGE ST.  FORT BIDWELL, CA 96112","99 W Brg, Fort Bidwell, CA 96112, USA",1.0,1.0,0.0,0.0,1.0,0.03470529940531196
232,CLEAN ENERGY,CLEAN ENERGY,"3400 E. TAHQUITZ CANYON WAY  PALM SPRINGS, CA 92262","3400 E Tahquitz Canyon Way, Palm Springs, CA 92262, USA",1.0,1.0,1.0,0.0,1.0,0.12902320172550208
238,MEDICINE SHOPPE,MEDICINE SHOPPE,"147 S. SUNRISE WAY  PALM SPRINGS, CA 92262","174 S Sunrise Way, Palm Springs, CA 92262, USA",1.0,0.0,1.0,1.0,1.0,0.0737153982449157
241,PMDL AND COMPANY  INC.,PMDL & CO INC,"777 E. TAHQUITZ CANYON WAY #20042  PALM SPRINGS, CA 92264","777 E Tahqtz Cyn Way # 20042, Palm Springs, CA 92262, USA",1.0,1.0,0.0,1.0,0.0,0.050229537630952566
246,FIESTA MARKET AND LIQUOR,FIESTA MARKET & LIQUOR,"3700 E. VISTA CHINO  PALM SPRINGS, CA 92262","1801-2055 Executive Dr, Palm Springs, CA 92262, USA",0.999931458775222,0.0,0.0,0.0,1.0,0.0796312451905604
247,SPA RESORT CASINO,SPA RESORT CASINO,"401 E. AMADO DR.  PALM SPRINGS, CA 92262","401 E Amado Rd, Palm Springs, CA 92262, USA",1.0,1.0,1.0,0.0,1.0,0.0796312451905604
254,BEAR RIVER PUMP & PLAY,PUMP AND PLAY,"11 BEAR PAWS WAY  LOLETA, CA 95551","Bear River Drive, Loleta, CA 95551, USA",0.9993672473103112,,0.5,0.0,1.0,0.2048883040227068
260,THE PLAY STATION 777,THE PLAY STATION 777,"7 CASINO WAY  BLUE LAKE, CA 95525","007 Casino Way, Blue Lake, CA 95525, USA",1.0,0.0,1.0,1.0,1.0,1.4607880425837922
261,FANTASY SPRINGS RESORT CASINO,FANTASY SPRINGS RESORT CASINO,"84245 INDIO SPRINGS DR.  INDIO, CA 99203","84245 Indio Springs Drive, Indio, CA 92203, USA",1.0,1.0,1.0,1.0,0.0,0.16364629084056642
262,CHEVRON GAS STATION,CHEVRON,"44801 U.S. 101  LAYTONVILLE, CA 95454","44801 US-101, Laytonville, CA 95454, USA",1.0,1.0,0.0,,1.0,0.06988451643112692
