Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,SoS_record,URL,entity,agent_name,doc_date,agent_address,agent_city,agent_state,agent_zip
2010,2010,,,WALGREENS,903 N MISSION ST,Correct,903 N MISSION ST,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6122684,,,-84.7684792,,,"903 N Mission St, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.7684792 43.6122684),Yes,,Isabella,Isabella Reservation,,,New Retailer,Walgreens Co,Deerfield,IL,N,2955921.0,,,,,,,,,
2022,2022,,,RITE AID,117 N MISSION ST,Correct,117 N MISSION ST,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.605042299999994,,,-84.76835679999998,,,"117 N Mission St, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.76835679999998 43.6050423),Yes,,Isabella,Isabella Reservation,,,New Retailer,Rite Aid Central Region 50,Waterford,MI,N,1585423.0,,,,,,,,,
2037,2037,,,DOWNTOWN DRUGS,121 E BROADWAY ST,Correct,121 E BROADWAY ST,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6045652,,,-84.7758527,,,"121 E Broadway St, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.7758527 43.6045652),Yes,,Isabella,Isabella Reservation,,,New Retailer,Independent,,,N,663374.0,,,,,,,,,
2040,2040,,,LUTES CORNER STORE,801 N MAIN ST,Correct,801 N MAIN ST,LANSE,Correct,LANSE,MI,Correct,MI,49946,Correct,49946.0,,,46.7649,,,-88.44537,,,"801 N Main St, LAnse, MI, 49946",,Correct,BARAGA,,,,,,Active,POINT (-88.44537 46.7649),Yes,,L'Anse,L'Anse Reservation,,,New Retailer,Independent,,,N,740058.0,800643026.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=800643026&SEARCH_TYPE=1,"LUTES' CORNER STORE, INC.",MICHAEL LYTIKAINEN,2016.0,801 N MAIN ST,L'ANSE,MI,49946.0
2047,2047,,,CVS PHARMACY,1306 S MISSION RD,Correct,1306 S MISSION RD,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.622154200000004,,,-84.7691592,,,"1306 S Mission Rd, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.7691592 43.6221542),Yes,,Isabella,Isabella Reservation,,,New Retailer,CVS Division 5,Woonsocket,RI,N,7095250.0,801032076.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=801032076&SEARCH_TYPE=1,"CVS PHARMACY, INC.",THE CORPORATION COMPANY,2019.0,40600 ANN ARBOR RD E STE 201,PLYMOUTH,MI,48170
2057,2057,,,MARATHON,4130 E ROSEBUSH RD,4130 E  RD,4130 E  RD,ROSEBUSH,Correct,ROSEBUSH,MI,Correct,MI,48878,Correct,48878.0,,,43.69846,,,-84.76525,,,"4130 E Rosebush Rd, Rosebush, MI, 48878",,Correct,ISABELLA,,,,,,Active,POINT (-84.76524999999999 43.69846),Yes,,Isabella,Isabella Reservation,,,New Retailer,Independent,,,Y,71313.0,,,,,,,,,
2179,2179,,,MARATHON,150 US HIGHWAY 41 S,Correct,150 US HIGHWAY 41 S,BARAGA,Correct,BARAGA,MI,Correct,MI,49908,Correct,49908.0,,,46.7784435,,,-88.48765340000001,,,"150 Us Highway 41 S, Baraga, MI, 49908",,Correct,BARAGA,,,,,,Active,POINT (-88.48765340000001 46.7784435),Yes,,L'Anse,L'Anse Reservation,,,New Retailer,Independent,,,Y,688347.0,,,,,,,,,
2186,2186,,,SPEEDWAY,201 S MISSION ST,Correct,201 S MISSION ST,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6031511,,,-84.76709240000002,,,"201 S Mission St, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.76709240000002 43.6031511),Yes,,Isabella,Isabella Reservation,,,New Retailer,Speedway/Reg 42/Lansing,Enon,OH,N,585372.0,802014766.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=802014766&SEARCH_TYPE=1,"97 SPEEDWAY, LLC",PAUL SCHWARTZ,,5901 CROMWELL,WEST BLOOMFIELD,MI,48322
2199,2199,,,RIVER ROAD PARTY STORE,3965 E RIVER RD,Correct,3965 E RIVER RD,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.628078,,,-84.7686219,,,"3965 E River Rd, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.7686219 43.628078),Yes,,Isabella,Isabella Reservation,,,New Retailer,Independent,,,N,765479.0,801411606.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=801411606&SEARCH_TYPE=1,"RIVER ROAD PARTY STORE, LLC",HEATHER MARIE VOLLMAR,,1721 W RIVER RD,MT PLEASANT,MI,48858
2225,2225,,,VILLAGE MARKET,2988 W BEAL CITY RD,Correct,2988 W BEAL CITY RD,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6695051,,,-84.90836490000002,,,"2988 W Beal City Rd, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.90836490000002 43.6695051),Yes,,Isabella,Isabella Reservation,,,New Retailer,Independent,,,N,751920.0,,,,,,,,,
2240,2240,,,SPEEDWAY,1018 E PICKARD ST,Correct,1018 E PICKARD ST,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6114774,,,-84.7638128,,,"1018 E Pickard St, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.7638128 43.6114774),Yes,,Isabella,Isabella Reservation,,,New Retailer,Speedway/Reg 42/Lansing,Enon,OH,N,413041.0,802014766.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=802014766&SEARCH_TYPE=1,"97 SPEEDWAY, LLC",PAUL SCHWARTZ,,5901 CROMWELL,WEST BLOOMFIELD,MI,48322
2241,2241,,,HUGGY BEARS,10010 E PICKARD RD,Correct,10010 E PICKARD RD,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6119,,,-84.64769,,,"10010 E Pickard Rd, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.64769 43.6119),Yes,,Isabella,Isabella Reservation,,,New Retailer,Independent,,,N,5551702.0,800354169.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=800354169&SEARCH_TYPE=1,"HUGGY BEARS, INC.",GEORGE PALERMO,1987.0,30700 HUNTERS DR.,FARMINGTON HILLS,MI,48018
2244,2244,,,TRIPLE DEUCE PARTY STORE,222 S WASHINGTON ST,Correct,222 S WASHINGTON ST,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6028236,,,-84.7779407,,,"222 S Washington St, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.7779407 43.6028236),Yes,,Isabella,Isabella Reservation,,,New Retailer,Independent,,,N,2162039.0,,,,,,,,,
2257,2257,,,BENT TREE MARKET,58878 M 51 S,Correct,58878 M 51 S,DOWAGIAC,Correct,DOWAGIAC,MI,Correct,MI,49047,Correct,49047.0,,,41.943538399999994,,,-86.16180809999999,,,"58878 M 51 S, Dowagiac, MI, 49047",,Correct,CASS,,,,,,Active,POINT (-86.16180809999999 41.9435384),Yes,,Pokagon,Pokagon Off-Reservation Trust Land,,,New Retailer,J & H Oil Inc,Wyoming,MI,N,7276075.0,,,,,,,,,
2362,2362,,,DOLLAR DAZE,924 N MISSION ST,Correct,924 N MISSION ST,MOUNT PLEASANT,Correct,MOUNT PLEASANT,MI,Correct,MI,48858,Correct,48858.0,,,43.6127011,,,-84.7671229,,,"924 N Mission St, Mount Pleasant, MI, 48858",,Correct,ISABELLA,,,,,,Active,POINT (-84.7671229 43.6127011),Yes,,Isabella,Isabella Reservation,,,New Retailer,Dollar Daze/HQ,Midland,MI,N,1909864.0,800504602.0,https://cofs.lara.state.mi.us/CorpWeb/CorpSearch/CorpSummary.aspx?ID=800504602&SEARCH_TYPE=1,"DOLLAR DAZE, INC.",RAID DAHOUD,1993.0,18063 REED,MELVINDALE,MI,48122
