address,block,countyfp,lat,lon,match,matchtype,parsed,side,statefp,tigerlineid,tract,matchsource,Coordinates,On Tribe Land,Assoc Tribe,Assoc Res,FDA_match,id,FDA_dist_miles,FDA_coord,Niel_id,TDLinx Store Code,File Date,Store Status Indicator,bizname,Store Number,paddress1,pcity,pstate,pzip,Store Place Name,Store State FIPS Code ,Store County FIPS Code ,Store Country Name,Trade Channel Code,Sub-Channel Code,Number of Stores/Outlets Code,Chain Indicator,Area Code,Phone Number,Store Volume ,Weekly Volume (000s),Area of Selling Space ,Full Time Employee Equivalents,Number of Checkouts,TDLinx Account Code for the Owner/Company,Retail Family Code for the Owner/Company,Owner Name,Owner City,Owner State ,Owner State FIPS Code,Owner County FIPS Code,TDLinx Account Code for the Marketing Group ,Marketing Group Name,Non-Corporate Owned,paddress2,FDA_id
"117 Hwy 249, Fort Thompson, SD, 57339",,,44.0684281,-99.4371455,True,ROOFTOP,,,,,,Google,POINT (-99.4371455 44.0684281),Yes,Crow Creek,Crow Creek Reservation,True,,0.0142226433380516,GEOMETRYCOLLECTION EMPTY,80340,80340,20181116,O-Open Store,LYNNS DAKOTAMART,,117 HWY 249,FORT THOMPSON,SD,57339,Fort Thompson,46,15,USA,05-Grocery,5-Supermarket-Conventional,E-11-25 Stores,C-Chain Store,605.0,2452292.0,"07-$6,000,001 to $8,000,000",150,4,12,3,11901,24080,Lynns Inc,Rapid City,SD,46.0,103.0,162469,Lynns Dakotamart,N,,1565.0
"369 Main St, New Town, ND, 58763",,,47.9796505,-102.4849521,True,ROOFTOP,,,,,,Google,POINT (-102.4849521 47.9796505),Yes,Fort Berthold,Fort Berthold Reservation,True,,0.05777233772470814,GEOMETRYCOLLECTION EMPTY,80903,80903,20181116,O-Open Store,KENNBECKS JACK & JILL,,369 MAIN ST,NEW TOWN,ND,58763,New Town,38,61,USA,05-Grocery,5-Supermarket-Conventional,A-1 Store,C-Chain Store,701.0,6274424.0,"05-$2,000,001 to $4,000,000",50,6,10,3,999999,99999,Independent,,,,,154202,Jack & Jill,Y,,842.0
"100 W Riverside Dr, Parker, AZ, 85344",2018.0,12.0,34.154324,-114.27984,True,Exact,"100 RIVERSIDE DR, PARKER, AZ, 85344",L,4.0,129602771.0,940200.0,Census,POINT (-114.27984 34.154324),Yes,Colorado River,Colorado River Indian Reservation,True,,0.004040073177573414,GEOMETRYCOLLECTION EMPTY,3607665,3607665,20181116,O-Open Store,WALMART SUPERCENTER,4543,100 W RIVERSIDE DR,PARKER,AZ,85344,Parker,4,12,USA,05-Grocery,6-Supercenter,K-501+ Stores,C-Chain Store,928.0,6692161.0,"12-$25,000,001 to $30,000,000",500,36,288,18,61940,20137,Walmart Supercenter,Bentonville,AR,5.0,7.0,143761,Walmart Supercenter,N,,98.0
"2405 N 14th St, Ponca City, OK, 74601",,,36.7328595,-97.0655581,True,ROOFTOP,,,,,,Google,POINT (-97.0655581 36.7328595),Yes,Kaw/Ponca,Kaw/Ponca joint-use OTSA,True,,8.557647559214226,GEOMETRYCOLLECTION EMPTY,339884,339884,20181116,O-Open Store,PONCA CITY DISCOUNT FOODS,19,2405 N 14TH ST,PONCA CITY,OK,74601,Ponca City,40,71,USA,05-Grocery,5-Supermarket-Conventional,G-51-100 Stores,C-Chain Store,580.0,7653445.0,"08-$8,000,001 to $12,000,000",175,34,46,9,197496,31070,RPCS Inc,Rogersville,MO,29.0,77.0,555555,No Group Assignment,N,,1391.0
"19307 St Hwy 1 E, Redby, MN, 56670",,,47.8811118,-94.9041591,True,RANGE_INTERPOLATED,,,,,,Google,POINT (-94.9041591 47.8811118),Yes,Red Lake,Red Lake Reservation,True,,0.0034131770139458955,GEOMETRYCOLLECTION EMPTY,1838795,1838795,20181116,O-Open Store,REDBY ONE STOP,,19307 ST HWY 1 E,REDBY,MN,56670,Redby,27,7,USA,07-Convenience Store,1-Gas Station/Kiosk,A-1 Store,I-Independent Store,218.0,6793715.0,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,683.0
"121 W Riverside Dr, Parker, AZ, 85344",1001.0,12.0,34.153793,-114.281,True,Exact,"121 RIVERSIDE DR, PARKER, AZ, 85344",R,4.0,129736030.0,940200.0,Census,POINT (-114.281 34.153793),Yes,Colorado River,Colorado River Indian Reservation,True,,0.008233170728377816,GEOMETRYCOLLECTION EMPTY,210687,210687,20181116,O-Open Store,SAFEWAY STORE,2075,121 W RIVERSIDE DR,PARKER,AZ,85344,Parker,4,12,USA,05-Grocery,5-Supermarket-Conventional,K-501+ Stores,C-Chain Store,928.0,6692243.0,"09-$12,000,001 to $16,000,000",300,24,55,9,16883,780,Albertsons Safeway/Southwest Div,Tempe,AZ,4.0,13.0,142568,Safeway,N,,150.0
"223 Main St, Hot Springs, MT, 59845",2305.0,89.0,47.608463,-114.67021,True,Exact,"223 MAIN ST, HOT SPRINGS, MT, 59845",L,30.0,204459506.0,940300.0,Census,POINT (-114.67021 47.608463),Yes,Flathead,Flathead Reservation,True,,0.05519984058511461,GEOMETRYCOLLECTION EMPTY,7423233,7423233,20181116,O-Open Store,BUCKS GROCERY,,223 MAIN ST,HOT SPRINGS,MT,59845,Hot Springs,30,89,USA,05-Grocery,4-Superette,A-1 Store,I-Independent Store,406.0,7412125.0,"03-$1,000,001 to $1,500,000",28,2,7,2,999999,99999,Independent,,,,,555555,No Group Assignment,N,,773.0
"535 Goddard Ave, Ignacio, CO, 81137",,,37.1156063,-107.6335781,True,ROOFTOP,,,,,,Google,POINT (-107.6335781 37.1156063),Yes,Southern Ute,Southern Ute Reservation,True,,0.017178493889734463,GEOMETRYCOLLECTION EMPTY,110545,110545,20181116,O-Open Store,FARMERS FRESH MARKET & DELI,,535 GODDARD AVE,IGNACIO,CO,81137,Ignacio,8,67,USA,05-Grocery,5-Supermarket-Conventional,A-1 Store,I-Independent Store,970.0,5634400.0,"06-$4,000,001 to $6,000,000",90,9,21,4,999999,99999,Independent,,,,,555555,No Group Assignment,N,,377.0
"450 Quechan Dr, Yuma, AZ, 85364",,,32.7336016,-114.61543,True,ROOFTOP,,,,,,Google,POINT (-114.61543 32.7336016),Yes,Fort Yuma,Fort Yuma Indian Reservation,True,,0.0,GEOMETRYCOLLECTION EMPTY,1632259,1632259,20181116,O-Open Store,QUECHAN INDIAN TRIBE,,450 QUECHAN DR,YUMA,AZ,85364,Yuma,4,27,USA,07-Convenience Store,1-Gas Station/Kiosk,A-1 Store,I-Independent Store,,,,0,0,0,0,999999,99999,Independent,,,,,555555,No Group Assignment,N,,115.0
"213 Main St, McLaughlin, SD, 57642",1068.0,31.0,45.814365,-100.81069,True,Non_Exact,"213 MAIN ST, MC LAUGHLIN, SD, 57642",L,46.0,197306352.0,941100.0,Census,POINT (-100.81069 45.814365),Yes,Standing Rock,Standing Rock Reservation,True,,0.0756836992274848,GEOMETRYCOLLECTION EMPTY,332641,332641,20181116,O-Open Store,MOSERS MAIN STREET MARKET,,213 MAIN ST,MCLAUGHLIN,SD,57642,McLaughlin,46,31,USA,05-Grocery,4-Superette,A-1 Store,I-Independent Store,605.0,8234405.0,"03-$1,000,001 to $1,500,000",24,4,7,2,999999,99999,Independent,,,,,555555,No Group Assignment,N,,1599.0
