IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Business Status,Business Status_changes,Business Status_update,On Tribe Land,On Tribe Land_changes,On Tribe Land_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,Coordinates,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id
3025,,,HOLBROOKS STATION MINI MART,1501 HWY 395 S,Correct,1501 HWY 395 S,GARDNERVILLE,Correct,GARDNERVILLE,NV,Correct,NV,89410,Correct,89410,,,38.7351013,,,-119.5576176,,,"1501 Hwy 395 S, Gardnerville, NV, 89410",,Correct,DOUGLAS,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-119.5576176 38.7351013),,Washoe Ranches,Washoe Ranches Trust Land,,,New Retailer,Independent,,,N,854666.0
3026,,,STOP N SAVE,9733 SHELL CREEK RD,Correct,9733 SHELL CREEK RD,SAND SPRINGS,Correct,SAND SPRINGS,OK,Correct,OK,74063,Correct,74063,,,36.194961,,,-96.10062909999999,,,"9733 Shell Creek Rd, Sand Springs, OK, 74063",,Correct,OSAGE,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-96.10062910000001 36.194961),,Osage,Osage Reservation,,,New Retailer,Independent,,,N,978185.0
3027,,,PUEBLO GAS,I 25 EXIT 259 ST RTE 22,Correct,I 25 EXIT 259 ST RTE 22,SANTO DOMINGO PUEBLO,Correct,SANTO DOMINGO PUEBLO,NM,Correct,NM,87052,Correct,87052,,,35.4731996,,,-106.3073452,,,"I 25 Exit 259 St Rte 22, Santo Domingo Pueblo, NM, 87052",,Correct,SANDOVAL,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-106.3073452 35.4731996),,Santo Domingo,Santo Domingo Pueblo,,,New Retailer,Independent,,,N,1832212.0
3028,,,D & K RED BARN,2309 LAKE RD,Correct,2309 LAKE RD,PONCA CITY,Correct,PONCA CITY,OK,Correct,OK,74604,Correct,74604,,,36.709472999999996,,,-97.05981,,,"2309 Lake Rd, Ponca City, OK, 74604",,Correct,KAY,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-97.05981 36.709473),,Kaw/Ponca,Kaw/Ponca joint-use OTSA,,,New Retailer,Independent,,,N,644582.0
3029,,,DOLLAR GENERAL,4 DEL SOL LN,Correct,4 DEL SOL LN,HERNANDEZ,Correct,HERNANDEZ,NM,Correct,NM,87537,Correct,87537,,,36.0490695,,,-106.11248379999999,,,"4 Del Sol Ln, Hernandez, NM, 87537",,Correct,RIO ARRIBA,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-106.1124838 36.0490695),,Ohkay Owingeh,Ohkay Owingeh,,,New Retailer,Dollar General/HQ,Goodlettsville,TN,N,7272704.0
3030,,,FAMILY DOLLAR,2337 W EDISON ST,Correct,2337 W EDISON ST,TULSA,Correct,TULSA,OK,Correct,OK,74127,Correct,74127,,,36.161274,,,-96.018776,,,"2337 W Edison St, Tulsa, OK, 74127",,Correct,OSAGE,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-96.018776 36.161274),,Osage,Osage Reservation,,,New Retailer,Family Dollar Stores Inc,Matthews,NC,N,1857488.0
3031,,,BOMGAARS,907 W SD HIGHWAY 46,Correct,907 W SD HIGHWAY 46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380,,,43.08135220000001,,,-98.27745949999999,,,"907 W Sd Highway 46, Wagner, SD, 57380",,Correct,CHARLES MIX,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.27745950000001 43.08135220000001),,Yankton,Yankton Reservation,,,New Retailer,Bomgaars Corporation,Sioux City,IA,N,3558595.0
3032,,,CHEVRON,18480 SUQUAMISH WAY NE,18480  WAY NE,18480  WAY NE,SUQUAMISH,Correct,SUQUAMISH,WA,Correct,WA,98392,Correct,98392,,,47.729003999999996,,,-122.55888,,,"18480 Suquamish Way NE, Suquamish, WA, 98392",,Correct,KITSAP,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-122.55888 47.729004),,Port Madison,Port Madison Reservation,,,New Retailer,Independent,,,Y,251752.0
3033,,,INDIANOLA COUNTRY STORE,9175 SHORE DR NE,Correct,9175 SHORE DR NE,INDIANOLA,Correct,INDIANOLA,WA,Correct,WA,98342,Correct,98342,,,47.74747429999999,,,-122.5259614,,,"9175 Shore Dr NE, Indianola, WA, 98342",,Correct,KITSAP,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-122.5259614 47.74747429999999),,Port Madison,Port Madison Reservation,,,New Retailer,Independent,,,N,1435567.0
3034,,,FAMILY DOLLAR,601 HWY 23 E,Correct,601 HWY 23 E,NEW TOWN,Correct,NEW TOWN,ND,Correct,ND,58763,Correct,58763,,,47.9802039,,,-102.4832768,,,"601 Hwy 23 E, New Town, ND, 58763",,Correct,MOUNTRAIL,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-102.4832768 47.9802039),,Fort Berthold,Fort Berthold Reservation,,,New Retailer,Family Dollar Stores Inc,Matthews,NC,N,4010278.0
3035,,,DOLLAR GENERAL,515 BUFFALO TRL,Correct,515 BUFFALO TRL,WINNEBAGO,Correct,WINNEBAGO,NE,Correct,NE,68071,Correct,68071,,,42.2435195,,,-96.4717412,,,"515 Buffalo Trl, Winnebago, NE, 68071",,Correct,THURSTON,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-96.4717412 42.2435195),,Winnebago,Winnebago Reservation,,,New Retailer,Dollar General/HQ,Goodlettsville,TN,N,1826301.0
3036,,,FAMILY DOLLAR,12978 HIGHWAY 12,Correct,12978 HIGHWAY 12,OROFINO,Correct,OROFINO,ID,Correct,ID,83544,Correct,83544,,,46.49926,,,-116.31871000000001,,,"12978 Highway 12, Orofino, ID, 83544",,Correct,CLEARWATER,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-116.31871 46.49926),,Nez Perce,Nez Perce Reservation,,,New Retailer,Family Dollar Stores Inc,Matthews,NC,N,7570643.0
3037,,,GUS STOP,413 W SD HIGHWAY 46,Correct,413 W SD HIGHWAY 46,WAGNER,Correct,WAGNER,SD,Correct,SD,57380,Correct,57380,,,43.081646,,,-98.29824,,,"413 W Sd Highway 46, Wagner, SD, 57380",,Correct,CHARLES MIX,,In Operation,In Operation,,Yes,Yes,,,,,,POINT (-98.29824000000001 43.081646),,Yankton,Yankton Reservation,,,New Retailer,G F Buche/C Store Div,Wagner,SD,N,1976407.0
