IMPAQ_ID,Longitude_update,Latitude_update,County_update
334,-119.69858899999998,37.21278,Madera
335,-121.67484499999999,40.87645,Shasta
336,-121.675141,40.87642,Shasta
337,-116.017052,33.350778999999996,Imperial
338,-116.01962,33.3526332,Imperial
339,-118.881556,36.092185,Tulare
340,-120.048702,35.893459,Kings
341,-118.776193,36.0343857,Tulare
342,-120.23979399999999,37.974757000000004,Tuolumne
343,-116.1843033,33.7125688,Riverside
344,-116.05152199999999,34.121181,San Bernardino
345,-121.31178700000001,38.839081,Placer
346,-121.24212299999999,38.823979,Placer
347,-119.770458,39.139904,Carson City
348,-124.250208,40.689562,Humboldt
349,-122.1446073,38.7365378,Yolo
350,-124.0406708,41.5310847,Del Norte
351,-114.4052995,34.482471600000004,San Bernardino
352,-114.40374779999999,34.4830354,San Bernardino
353,-121.566654,39.499247,Butte
354,-124.193978,41.753851,Del Norte
355,-119.022571,36.069352,Tulare
356,-121.5621757,39.5024552,Butte
357,-117.1954,34.121527,San Bernardino
358,-123.059234,38.981175,Mendocino
359,-116.962325,32.777128999999995,San Diego
360,-116.978902,32.794993,San Diego
361,-116.9667866,32.8061849,San Diego
362,-116.95792900000001,32.779742999999996,San Diego
363,-116.529398,33.815942,Riverside
364,-120.77418999999999,38.348955,Amador
365,-116.5466614,33.8250353,Riverside
366,-118.395902,37.364604,Inyo
367,-117.160734,33.496632,Riverside
368,-123.4827949,39.6876486,Mendocino
369,-124.03881100000001,41.529893,Del Norte
370,-107.4190047,37.02331881,Archuleta
371,-107.3472077,37.22839570000001,Archuleta
372,-108.1697119,37.093164,La Plata
373,-107.63360990000001,37.12011284,La Plata
374,-107.6333071,37.1156026,La Plata
375,-107.63348400000001,37.11688428,La Plata
376,-107.6335395,37.1155103,La Plata
377,-107.63331880000001,37.1155625,La Plata
378,-108.6753428,37.2186954,Montezuma
379,-73.930426,40.69453099999999,Kings
380,-107.8760084,37.04215288,La Plata
381,-107.6329612,37.1188057,La Plata
382,-107.63349550000001,37.12002798,La Plata
383,-107.6334035,37.1143278,La Plata
384,-107.63299669999999,37.11181550000001,La Plata
385,-107.63311499999999,37.119169,La Plata
386,-107.6323312,37.13821400000001,La Plata
387,-107.6370233,37.1283331,La Plata
388,-108.6858117,37.204662299999995,Montezuma
389,-72.0929457,41.4917357,New London
390,-72.0875879,41.4908669,New London
391,-72.0890113,41.49125610000001,New London
392,-72.0867078,41.48840870000001,New London
393,-71.96264660000001,41.4758112,New London
394,-72.09145600000002,41.491597,New London
400,-72.0883054,41.490736,New London
401,-72.09057349999998,41.49168650000001,New London
402,-72.0913604,41.4909799,New London
403,-72.09289799999998,41.52118,New London
404,-71.9712882,41.4580664,New London
405,-71.9527219,41.4700901,New London
406,-72.0929457,41.4917357,New London
407,-72.08872199999998,41.4923548,New London
408,-72.11054509999998,41.4303962,New London
409,-72.0890113,41.49125610000001,New London
410,-72.094635,41.490894,New London
411,-72.0883054,41.490736,New London
412,-72.088143,41.491324,New London
413,-72.0913604,41.4909799,New London
414,-72.09212339999998,41.4912761,New London
415,-72.10019199999998,41.48481900000001,New London
416,-72.08831959999998,41.491473,New London
417,-71.95262389999998,41.4702935,New London
418,-80.21112,26.052120000000002,Broward
419,-80.98234000000002,26.312538699999998,Hendry
420,-80.48114,25.757141,Miami-Dade
421,-80.99866999999998,26.32665900000001,Hendry
422,-80.48401,25.763123,Miami-Dade
423,-81.07045,27.088709,Glades
424,-81.07059,27.081979999999998,Glades
425,-80.2018,26.2801,Broward
426,-80.2088041,26.03662640000001,Broward
427,-81.4165,26.41064,Collier
428,-80.1991974,26.2779278,Broward
429,-80.14617199999998,26.01036899999999,Broward
430,-80.23625729999998,26.04594710000001,Broward
431,-80.188936,26.012439,Broward
432,-80.481336,25.759,Miami-Dade
433,-80.20043000000003,26.278401000000002,Broward
434,-80.148119,26.010429000000002,Broward
435,-80.208911,26.048496,Broward
436,-80.435037,27.405053000000002,St. Lucie
437,-80.210382,26.01779800000001,Broward
438,-80.155016,26.00504500000001,Broward
439,-81.4137425,26.397443100000004,Collier
440,-80.16891020000001,26.0567649,Broward
441,-81.409548,26.39981400000001,Collier
442,-80.933114,26.754139000000002,Hendry
443,-80.831037,27.242881,Okeechobee
444,-92.6719012,41.9990162,Tama
445,-96.3109983,42.2288573,Woodbury
446,-94.18621999999999,42.50631,Webster
447,-92.66887,41.998244,Tama
