Unnamed: 0,IMPAQ_ID,DBA Name,DBA Name_changes,DBA Name_update,Address Line 1,Address Line 1_changes,Address Line 1_update,City,City_changes,City_update,State,State_changes,State_update,Zip,Zip_changes,Zip_update,Latitude,Latitude_changes,Latitude_update,Longitude,Longitude_changes,Longitude_update,Full Address,Full Address_changes,Full Address_update,County,County_changes,County_update,Address Line 2,matchsource,est_id,found_pic,Manual Result,biz_status,Coordinates,On Tribe Land,Miles to Nearest Tribe,Assoc Tribe,Assoc Res,Nearest Tribe,Nearest Res,ori_flg,Owner Name,Owner City,Owner State,Non-Corporate Owned,Niel_id,Manual Validation Flag,SoS_record,URL,entity,agent_name,store_address,agent_address,agent_city,agent_state,agent_zip
658,658,VERMILLION PUMP & MARKET,Correct,VERMILLION PUMP & MARKET,108 PARK AVE. N.,Correct,108 PARK AVE. N.,VERMILLION,Correct,VERMILLION,MN,Correct,MN,55085,Correct,55085,44.67388137,Correct,44.67388137,-92.96556859,Correct,-92.96556859,"108 PARK AVE. N.  VERMILLION, MN 55085",Correct,"108 PARK AVE. N. VERMILLION, MN 55085",,Correct,DAKOTA,,Original,658.0,,,Active,POINT (-92.96556859 44.67388137),No,12.734342999999999,,,Prairie Island,Prairie Island Off-Reservation Trust Land,From Original List,,,,,,,11F-469,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=fcfbd8a7-9ad4-e011-a886-001ec94ffe7f,"Vermillion Pump & Market, Inc.",Donald F Frandrup,,17736 EMERY AVE E HASTINGS MN 55033 USA,Hastings,MN,55033
661,661,CEDAR CREST RESORT,Correct,CEDAR CREST RESORT,29783 387TH ST.,Correct,29783 387TH ST.,WAUBUN,Correct,WAUBUN,MN,Correct,MN,56589,Correct,56589,47.13168,Correct,47.13168,-95.77242,Correct,-95.77242,"29783 387TH ST.  WAUBUN, MN 56589",Correct,"29783 387TH ST. WAUBUN, MN 56589",,Correct,BECKER,,Original,661.0,,,Active,POINT (-95.77242 47.13168),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,963155100021,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=eb1fa82c-f38d-e711-8183-00155d01c6c6,Cedar Crest Resort LLC,David B. Kuehner,,1504 HOMER RD WINONA MN 55987 USA,Winona,MN,55987
662,662,ELBOW LAKE STORE & BAR,Can't Validate,ELBOW LAKE STORE & BAR,40419 ELBOW LAKE STORE RD.,Can't Validate,40419 ELBOW LAKE STORE RD.,WAUBUN,Can't Validate,WAUBUN,MN,Can't Validate,MN,56589,Can't Validate,56589,47.14756,Can't Validate,47.14756,-95.54034,Can't Validate,-95.54034,"40419 ELBOW LAKE STORE RD.  WAUBUN, MN 56589",Can't Validate,"40419 ELBOW LAKE STORE RD. WAUBUN, MN 56589",,Can't Validate,BECKER,,Original,662.0,,,Can't Validate,POINT (-95.54034 47.14756),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,876468200026,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=8601ca19-61e1-e511-8166-00155d01c56d,Elbow Lake Store & Bar,,"49419 Elbow Lake Store Road
Waubun, MN 56589
USA",,,,
663,663,E-Z ONE STOP,Correct,E-Z ONE STOP,3194 U.S. HWY. 59,Correct,3194 U.S. HWY. 59,WAUBUN,Correct,WAUBUN,MN,Correct,MN,56589,Correct,56589,47.1804896,Correct,47.1804896,-95.93322216,Correct,-95.93322216,"3194 U.S. HWY. 59  WAUBUN, MN 56589",Correct,"3194 U.S. HWY. 59 WAUBUN, MN 56589",,Correct,MAHNOMEN,,Original,663.0,1.0,yes,Active,POINT (-95.93322216 47.1804896),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,7B-61,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=f3954648-9ad4-e011-a886-001ec94ffe7f,"E/Z One Stop, Inc.",(Optional) Currently No Agent,,3194 US HWY 59 WAUBUN MN 56589 USA,Waubun,MN,56589
666,666,LUCKY DAY LIQUOR,Correct,LUCKY DAY LIQUOR,6690 STURGEON LAKE RD.,Correct,6690 STURGEON LAKE RD.,WELCH,Correct,WELCH,MN,Correct,MN,55089,Correct,55089,44.63066894,Correct,44.63066894,-92.67088783,Correct,-92.67088783,"6690 STURGEON LAKE RD.  WELCH, MN 55089",Correct,"6690 STURGEON LAKE RD. WELCH, MN 55089",,Correct,GOODHUE,,Original,666.0,,,Active,POINT (-92.67088783 44.63066894),No,0.42880921899999996,,,Prairie Island,Prairie Island Off-Reservation Trust Land,From Original List,,,,,,,793404900023,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=bc614c14-936a-e411-ae63-001ec94ffe7f,"Lucky Day Liquor, LLC","United States Corporation Agents, Inc.",,915 MAINSTREET SUITE 2 HOPKINS MN 55343 USA,Hopkins,MN,55343
667,667,CANNON RIVER INN,Correct,CANNON RIVER INN,26374 COUNTY 7 BLVD.,Correct,26374 COUNTY 7 BLVD.,WELCH,Correct,WELCH,MN,Correct,MN,55089,Correct,55089,44.56811211,Correct,44.56811211,-92.73778838,Correct,-92.73778838,"26374 COUNTY 7 BLVD. BOX 135 WELCH, MN 55089",Correct,"26374 COUNTY 7 BLVD. WELCH, MN 55089",,Correct,GOODHUE,BOX 135,Original,667.0,,,Active,POINT (-92.73778838 44.56811211),No,2.427109232,,,Prairie Island,Prairie Island Off-Reservation Trust Land,From Original List,,,,,,,,,,,,,,,
668,668,AMERICAN LEGION CLUB,Correct,AMERICAN LEGION CLUB,122 W MONROE AVE,Correct,122 W MONROE AVE,MAHNOMEN,Correct,MAHNOMEN,MN,Correct,MN,56557,Correct,56557,47.31517206,Correct,47.31517206,-95.96900615,Correct,-95.96900615,"122 W MONROE AVE  MAHNOMEN, MN 56557",Correct,"122 W MONROE AVE MAHNOMEN, MN 56557",,Correct,MAHNOMEN,,Original,668.0,,,Closed,POINT (-95.96900615 47.31517206),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,,,,,,,,,
670,670,M and W,Correct,M and W,401 2ND STREET,Correct,401 2ND STREET,OGEMA,Correct,OGEMA,MN,Correct,MN,56569,Correct,56569,47.10384000000001,Correct,47.10384000000001,-95.92654,Correct,-95.92654,"401 2ND STREET  OGEMA, MN 56569",Correct,"401 2ND STREET OGEMA, MN 56569",,Correct,BECKER,,Original,670.0,1.0,yes,Active,POINT (-95.92654 47.10384000000001),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,1071801500026,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=f3de3b7a-ce3b-e911-9171-00155d01b439,M AND W LLC,(Optional) Currently No Agent,,10311 DECATUR AVE S BLOOMINGTON MN 55438–5543 USA,BLOOMINGTON,MN,55438
671,671,M AND W,M AND W SERVICE,M AND W SERVICE,25747 STATE HIGHWAY 224,Correct,25747 STATE HIGHWAY 224,OGEMA,Correct,OGEMA,MN,Correct,MN,56569,Correct,56569,47.09313846,Correct,47.09313846,-95.85074537,Correct,-95.85074537,"25747 STATE HIGHWAY 224  OGEMA, MN 56569",Correct,"25747 STATE HIGHWAY 224 OGEMA, MN 56569",,Correct,BECKER,,Original,671.0,,,Active,POINT (-95.85074537 47.09313846),Yes,0.0,White Earth,White Earth Reservation,,,From Original List,,,,,,,,,,,,,,,
674,674,DOLLAR GENERAL,Correct,DOLLAR GENERAL,1202 SHAKOPEE TOWN SQ.,Correct,1202 SHAKOPEE TOWN SQ.,SHAKOPEE,Correct,SHAKOPEE,MN,Correct,MN,55379,Correct,55379,44.78461287,Correct,44.78461287,-93.55448186,Correct,-93.55448186,"1202 SHAKOPEE TOWN SQ.  SHAKOPEE, MN 55379",Correct,"1202 SHAKOPEE TOWN SQ. SHAKOPEE, MN 55379",SCOTT,Correct,SCOTT,,Original,674.0,,,Active,POINT (-93.55448186 44.78461287),No,4.342320582,,,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Off-Reservation Trust Land,From Original List,,,,,,,,,,,,,,,
690,690,THE Y STORE,Correct,THE Y STORE,6368 HWY. 169,6368 -169,6368 -169,TOWER,Correct,TOWER,MN,Correct,MN,55790,Correct,55790,47.726547,47.7842619,47.7842619,-92.396606,-92.3631244,-92.3631244,"6368 HWY. 169  TOWER, MN 55790","6368 MN-169, Tower, MN 55790, USA","6368 MN-169, Tower, MN 55790, USA",,Correct,ST. LOUIS,,Original,690.0,,,Active,POINT (-92.3631244 47.7842619),No,1.468887034,,,Bois Forte,Bois Forte Reservation,From Original List,,,,,,,2901442-2,https://mblsportal.sos.state.mn.us/Business/SearchDetails?filingGuid=534d0613-92d4-e011-a886-001ec94ffe7f,THE Y STORE,(Optional) Currently No Agent,,,,,
